"id","submitdate","lastpage","startlanguage","seed","startdate","datestamp","Datum","VP","HMI","VPCode[VPCode1]","VPCode[VPCode2]","VPCode[VPCode3]","UMUX[UMUX01]","UMUX[UMUX02]","UMUX[UMUX03]","UMUX[UMUX04]","SUS[SUS01]","SUS[SUS02]","SUS[SUS03]","SUS[SUS04]","SUS[SUS05]","SUS[SUS06]","SUS[SUS07]","SUS[SUS08]","SUS[SUS09]","SUS[SUS10]","TuA[Trust]","TuA[Acceptance]","UEQ[UEQ01]","UEQ[UEQ02]","UEQ[UEQ03]","UEQ[UEQ04]","UEQ[UEQ05]","UEQ[UEQ06]","UEQ[UEQ07]","UEQ[UEQ08]","UEQ[UEQ09]","UEQ[UEQ10]","UEQ[UEQ11]","UEQ[UEQ12]","UEQ[UEQ13]","UEQ[UEQ14]","UEQ[UEQ15]","UEQ[UEQ16]","UEQ[UEQ17]","UEQ[UEQ18]","UEQ[UEQ19]","UEQ[UEQ20]","UEQ[UEQ21]","UEQ[UEQ22]","UEQ[UEQ23]","UEQ[UEQ24]","UEQ[UEQ25]","UEQ[UEQ26]","GutGefallen","NichtGefallen","Verbessern","Anmerkungen","AnstrengendWenden[AnstrengendWenden]","Uebel[Uebel]","SpeechInfo","SpeechChangeAvailUp[SOCAUpYes]","SpeechChangeAvailUp[SOCAUpNot]","SpeechChangeAvailDow[SOCADoYes]","SpeechChangeAvailDow[SOCADoNot]","SpeechTransition[SOTransYes]","SpeechTransition[SOTransNot]","SpeechTOR[SOTORYes]","SpeechTOR[SOTORNot]","SpeechHOD[SOHODYes]","SpeechHOD[SOHODNot]","SpeechOperationError[SOOpErrYes]","SpeechOperationError[SOOpErrNot]","SpeechBreak","SpeechAddressing[SOAddressing]","SpeechComments","AllgAnregungen"
"20","2021-07-22 11:34:56","9","en","1518642446","2021-07-22 11:15:57","2021-07-22 11:34:56","2021-07-22 00:00:00","06","HC","TH","TU","01","5","3","5","2","4","2","4","3","4","3","4","1","4","2","4","4","6","6","2","2","2","6","6","5","2","2","6","2","4","6","6","6","2","2","2","6","3","6","3","2","2","6","I very much enjoyed the automatic driving mode experience! It made being in the car much more pleasant and worthwhile of my time. Assistance is also helpful but I preder automatic every time.","I did not like having to look at the screen between all three modes, especially in automatic. For manual and assisted, it is tolerable but for automatic, having to constantly check for warnings or errors made it slightly stressful/unpleasant. I also did not like the absence of audio assistance when changes occurred in modes, either verbal instructions or noise notifications would be helpful.","There is room for minor improvements, such as: 
- audio notification when modes become available/unavailable 
- less aggressive sound when there is an error. It made me very alarmed whereas specific verbal instructions would be more helpful and less stressful (i.e., human voice saying: there is an error. please turn off automatic driving and turn on manual). 
- I greatly prefer being able to use one button to control all modes and one button for only turning on and off. 
","","1","1","","0","3","0","4","0","3","0","4","0","4","1","4","","0","I would really like speech outputs!","A verz pleasant and fun experience :)"
"21","2021-07-22 13:08:34","9","en","908334504","2021-07-22 12:56:30","2021-07-22 13:08:33","2021-07-22 00:00:00","56","LC","UU","LK","12","4","5","3","2","1","4","2","3","2","4","1","4","1","5","1","1","1","4","4","6","6","7","7","1","1","1","7","5","3","5","5","2","6","4","6","4","6","2","3","6","5","7","it could be convienient for long rides and driver fatigue.","I felt like I couldnt trust the automatic driving because its new to me.","Rearrange the buttons away from the steering wheel. I felt like I could accidently switch between modes or turn off assisted driving.","instructions were confusing. I was skeptical relying on automated driving.","4","1","","0","4","0","4","0","4","0","4","0","4","0","4","","4","personal speech can grab your attention a lot better than passive.","Automated driving is quite new so I was nervous using the system. "
"22","2021-07-22 15:48:50","9","en","167892649","2021-07-22 15:30:20","2021-07-22 15:48:50","2021-07-22 00:00:00","07","HC","Ju","Ru","08","7","1","7","1","5","1","5","1","5","1","5","1","5","1","5","5","6","6","2","1","1","6","6","6","4","2","6","2","6","6","6","6","2","2","1","7","1","6","2","2","2","7","i found it simple to use and informative as well","nothing","maybe a little more alertive when a feature is not available","innovation at its best","2","1","","0","4","0","4","0","4","0","4","1","4","1","4","","2","My driving instructor speaks super english and seems to have a talent in reading peoples vibration . Very professional with a friendly balance. A good experience it has been.","Salutations to Science and all that she invents"
"23","2021-07-22 17:28:59","9","en","1517155607","2021-07-22 17:20:50","2021-07-22 17:28:59","2021-07-22 00:00:00","57","LC","ru","ro","02","7","1","7","1","5","1","5","1","5","1","5","1","5","1","5","5","7","7","1","1","1","7","7","7","1","1","7","1","7","7","7","7","1","1","1","7","1","7","1","1","1","7","The colors.","Nothing","No","No","1","1","","0","4","0","4","0","4","0","4","0","4","0","4","","4","","Enjoyable experience."
"25","2021-07-27 10:24:10","9","en","284074082","2021-07-27 10:16:28","2021-07-27 10:24:10","2021-07-27 00:00:00","08","HC","sh","da","08","6","1","7","1","3","1","5","1","5","2","5","1","4","1","4","4","6","6","4","1","3","6","6","4","2","3","5","4","7","4","6","6","4","4","2","6","1","4","2","3","1","6","<it was interesting and something new. <i have used assitance before but not automation.","<i think it comes down to age. <i felt too nervouse to really engage in other activities during driving but after a while did not mind trying other things during the automated driving","<i felt the buttons were counterintuitive. <why not just have one for automation and one for assited instead of a power on and change in driving levels","<it is interesting and it is amazing what we are developing in new vehicles. <<<<<<<<<makes me nervous, however, that people might put too much faith in automation and not pa attention to the road","1","1","","3","0","3","2","0","2","1","4","0","4","0","2","","0","",""
"26","2021-07-27 15:14:39","9","en","899937469","2021-07-27 14:55:57","2021-07-27 15:14:39","2021-07-27 00:00:00","58","LC","Vi","St","12","7","6","7","2","4","1","5","1","5","2","5","1","5","1","5","5","7","7","1","1","3","6","7","1","2","1","6","1","7","7","7","7","3","3","2","5","2","3","3","5","3","4","I liked the ease in switching from the various modes from assisted toautomated.  Also interesting was the prompt givn when the automated mode was available.  When switching between the modes from manual to the automated mode, the instant switch in vehicle control was swift.  The slight hesitation was felt when the automation mode began.   ","Althought the automation mode is great, the driver cannot become completely engulfed in secondary activities because messages appear on the display panel that may need attention.  Perhaps, paralleling the messages on the display with spoken messages and/or instructions as well.  Additionally, some of the features that the automation mode is capable of performing, such as the emergency brake, may cause harm to the driver if no prior or immediaate verbal warning is given.","Perhaps, paralleling the messages on the display with spoken messages and/or instructions as well. ","","1","1","","0","3","0","3","0","3","0","3","0","3","0","3","","1","",""
"27","2021-07-27 17:14:53","9","en","1811039256","2021-07-27 17:03:22","2021-07-27 17:14:53","2021-07-27 00:00:00","09","HC","EL","TE","07","7","1","7","1","5","1","5","1","5","5","5","1","5","1","5","5","7","7","5","1","1","3","4","7","1","2","7","1","7","7","6","7","1","3","1","7","1","7","1","2","2","3","<the interface was quick and straightforward","it was a little bland. Commparing to Tesla, a lot of similar information is displayed in more attractive ways","displaying the modes and the bottom is space efficient but was difficult to see at times. adding additional visual indicators to the car illustration in the center of the display would be nice. This may also be biased by my previous experience with tesla because thats how they show autopilot availability-","im excited to see this feature in production","1","1","","3","2","1","2","4","2","1","2","1","2","4","2","","1","Id rather just a short tone. Speech outputs would need to interrupt music-podcasts, etc and i dont want to keep hearing long speech prompts",""
"28","2021-07-28 10:41:21","9","en","187288725","2021-07-28 10:24:47","2021-07-28 10:41:21","2021-07-28 00:00:00","10","HC","RO","HE","07","4","4","4","3","4","3","4","3","3","2","2","3","2","5","3","5","4","3","3","4","2","6","6","2","4","2","7","1","3","6","6","6","3","2","2","6","3","7","3","3","3","6","I like the variety of features it offers, however at the beginning it can be confusing to use. I was always confused with the names, especially Assisted and Automated, it took me a while to differentiate the two names. ","I was not very confident in leaving my hands from the wheel, that is because it is something new to me. Also whenever there was an alert, it was a visual message on the dashboard which makes it hard to read if one is not paying attention to the dashboard. ","Based on personal experience I would suggest a better visual design, that stands more, simpler to see and whenever there is an alert, there should always be a sound so the driver knows to look at the dashboard. ","I liked it, it is definitely something I would like to have in the future. Most importantly I think this is something that an individual should be trained on by an expert before using it, to avoid accidents. ","2","1","","1","3","1","4","1","3","1","4","1","4","1","3","","3","They were clear, and very important to keep them short and clear during driving. Some of the messages in the dashboard were long not easy to read when driving so better when they are availble on speech output or followed by an alert sound. ","I found it great, definitely something new for me, I would definitely like this feature on my future vehicle, however this should be a feautre that is somehow people are well trained before using it. Thanks!"
"29","2021-07-28 12:41:13","9","en","1637015959","2021-07-28 12:32:56","2021-07-28 12:41:13","2021-07-28 00:00:00","59","LC","so","ba","01","6","1","7","1","5","1","5","1","4","1","5","1","5","1","5","5","7","7","3","1","1","6","7","4","2","1","7","1","7","7","7","7","1","2","1","7","2","7","1","1","1","7","Clear, felt intuitive","While it was easz to understand, I expected a can audible onfirmation of sorts when the system was engaged","Slighty brighter color, the blue is fine, but perhaps a bit more contrast","Would be interesting to have an audible confirmation as well ","1","1","","0","3","0","3","0","3","0","4","0","2","0","3","","0","","none"
"30","2021-07-28 15:02:13","9","en","1305376978","2021-07-28 14:41:22","2021-07-28 15:02:13","2021-07-28 00:00:00","11","HC","BR","RO","04","6","1","7","1","5","2","5","1","4","1","4","1","5","2","4","5","6","7","4","2","2","5","6","6","2","3","6","1","6","5","5","5","2","3","1","6","2","7","1","3","2","4","The icons and controls were exactly as I expected.  My first try I was able to engage the automated and assisted driving.","I am not sure that the button for turning on and off the system is fully needed.  I could imagine simply using the button to change the automation level between the 3 settings would be enough for me. 

Additionally I felt like the the perfect solution for alerting when a need between automated and manual driving is needed wasn't fully achieved.  In the first scenario there was not enough feedback to tell me that I needed to take over control - I could easily imagine not noticing it in time if I were fully distracted.  The second scenario with the beep was alarming, and made me act immediately, but also with some panic.  I believe I hit the breaks immediately, and perhaps that was not needed or could have even been dangerous if i were in traffic.","I could imagine the entire background color of the control area changing colors - it remained black the entire time and it could have turned blue or green for automated driving and turned red if I needed to take action.  Additionally tactitle notification in the stearing wheel or or seat might be intresting as well.  I found the lights on the stearing wheel to not be bright enough during the day light to be of much use, and perhaps there could have been a larger lighting area on the stearing wheel for this type of feedback.","overall I enjoyed the experience.  I think a good HMI will give people comfort when adopting automated driving systems, so I see it as critically important.","1","1","","3","2","1","3","1","3","0","4","1","4","1","2","","0","",""
"31","2021-07-28 17:45:43","9","en","992396629","2021-07-28 17:17:58","2021-07-28 17:45:43","2021-07-28 00:00:00","60","LC","do","ni","09","5","1","7","1","5","1","5","1","5","1","5","1","4","1","4","5","6","5","2","1","1","6","7","7","2","1","7","1","7","6","6","7","2","2","1","7","2","7","1","1","1","6","The security of maintaining the car in the middle of the lane.  The pop-up display message to take over or keep my hands on the wheel.  ","There was no noise or it came too slowly when the display had a pop-up message.  I think a little noise would alert the driver to pay full attention to the display.  ","Just a little beep noise to follow a pop-up display message.  ","I liked it and can see it providing more safety while driving long distances on highway traffic.  Tired drivers tend to have some trouble staying in the middle of a lane and this could help that situation.  ","1","1","","0","4","0","2","1","4","1","4","1","4","2","2","","0","I like the idea of speech outputs and also believe that they should be able to be shut off when the driver does not wish for them to be on.  ","no."
"32","2021-07-29 10:28:51","9","en","634148197","2021-07-29 10:17:04","2021-07-29 10:28:51","2021-07-29 00:00:00","12","HC","Ru","Le","06","6","2","6","1","4","1","5","2","4","2","5","1","4","1","3","4","6","6","3","2","4","4","5","4","4","2","4","3","5","5","6","5","3","4","3","5","3","5","2","4","4","6","It was straightforward and clear.","If there was a large sudden obstruction, I would worry that the alert would not be fast enough to trigger my response...and that my response would not be fast enough.","Louder alert when telling the driver to switch from automation to manual - what if the driver had fallen asleep! It sounds crazy but there are those people who can nap at a moment´s notice...","No","1","1","","0","2","0","4","1","2","0","4","1","3","2","2","","0","","No"
"33","2021-07-29 12:44:39","9","en","320829150","2021-07-29 12:26:33","2021-07-29 12:44:39","2021-07-29 00:00:00","13","HC","EM","DA","10","7","2","6","1","4","1","5","1","4","1","5","1","4","1","3","3","4","6","2","2","3","5","5","5","2","2","5","1","5","5","7","6","4","2","2","5","2","5","2","2","2","7","It was easy to activate the assisted and automatic driving, and the selection took over very quickly. I also liked the display size and the volume of the warnings. Plus, when I need to take over the steering wheel from automatic driving, that there were flashing colors to help direct my attention immediately to what was happeningö I became quite engrossed in the secondary activity and it took my brain a second to transition to what was happening and the lights really helped this. It was also easy to switch between assisted and automatic.","The notifications were not up long enough. For example, if I was doing the secondary activity, and really focusing on it like one might with email, then I could miss a notification unless it was an emergency stop. ","no","I liked it better than I expected to, but it was still hard to turn total control over to the machine.","3","1","","0","3","0","4","0","3","0","3","0","4","4","0","","2","Important to have the volume of the speech manually controllable by the user and that the user can disenable if they so choose.","It took a little bit to get use to it but then it was fun. I could not exactly remember what features were available to assissted driving, so to have a reminder available would have been nice."
"34","2021-07-29 17:00:43","9","en","1224978595","2021-07-29 16:47:12","2021-07-29 17:00:43","2021-07-29 00:00:00","61","LC","ro","da","11","4","2","6","2","3","2","4","1","3","2","3","2","4","1","3","3","4","5","5","2","4","4","5","4","2","4","6","3","6","5","5","5","4","5","4","4","3","5","4","4","3","5","i liked that it gives warnings about avaailability and sensor errors","no audible souund alerts when the system became unavailable","i would have liked more sound alerts to draw my attention back to the steering wheel if a problem with the system occurs.","","1","1","","1","3","0","4","0","3","0","4","0","4","1","3","","3","it would be nice to choose the voice... like, maybe Morgan Freeman, or Judy Dench",""
"35","2021-07-30 10:37:55","9","en","395377741","2021-07-30 10:26:58","2021-07-30 10:37:55","2021-07-30 00:00:00","62","LC","co","ma","12","5","1","7","1","5","1","5","1","5","1","4","1","5","1","5","5","7","7","5","1","1","6","6","4","4","1","6","2","6","6","7","7","3","3","1","7","1","7","1","2","2","6","Its easzy!","Not sure how safe it would be in real life scenarios. ","Perhaps use the color red for fully automated or orange so it is very obvious that you are not in control and should take great care. ","None","2","1","","1","4","1","4","1","4","1","4","1","4","1","4","","1","I think it would be beneficial to have the speech output so i can watch the road and do my secondary activity instead of also having to monitor the control panel. Making me have less things to do while in the car. Especially, if I am distracted by children or a spill of coffee ´- voice activation would be ideal to warn me. ","None"
"36","2021-07-30 12:45:22","9","en","1406750643","2021-07-30 12:27:28","2021-07-30 12:45:22","2021-07-30 00:00:00","14","HC","ch","em","10","5","1","6","2","4","1","4","1","4","3","5","2","4","1","4","4","6","6","4","1","2","6","6","5","2","2","3","2","6","6","2","5","2","2","2","6","2","6","2","2","2","6","It simply helps drivers for long distance.","","error message in red should be in a light red color instead of dark red. i had problems reading the error.","","3","3","","1","2","3","4","0","4","3","4","1","4","3","3","","0","",""
"37","2021-07-30 15:07:42","9","en","1451218710","2021-07-30 14:56:54","2021-07-30 15:07:42","2021-07-30 00:00:00","63","LC","PA","RI","12","6","1","6","1","3","1","5","1","4","1","5","1","4","1","3","2","6","6","5","1","3","3","5","3","1","1","5","3","7","6","7","6","3","3","2","6","1","5","2","2","2","7","It was very easy to figure out.  easy to turn off just by breaking.","I dont know how well it would do in heavy traffic, at night, country roads without markings, rain,  etc.  Difficult to fully trust the system especially if I would be liable for any accidnt. ","No, it was already easy to use","I wouldnt fully use it unless I had a training course on the automatic driving to know when it could be trusted and when manual driving would be better.","1","1","","2","2","0","4","0","4","0","4","0","4","4","0","","1","Too many prompts would be a bit destracting to the driver and would get annoying after a while.","Maybe some small obstacles would make it more realistic.  I dont know how automatic driving would handle cyclists or construction cones, etc. it was fun!"
"38","2021-07-30 17:23:15","9","en","1553988331","2021-07-30 17:05:13","2021-07-30 17:23:15","2021-07-30 00:00:00","15","HC","Do","Da","06","5","1","7","2","2","1","5","1","5","1","5","1","3","1","2","2","6","6","5","1","3","5","5","3","3","2","5","4","7","5","5","6","4","3","4","6","2","6","2","3","2","6","I liked that there were very few options to choose from to automate my driving, I wasnt overwhelmed with choices that I would have to make which might have been hard when on the road. I like that there were only two buttons to have to think about, and that the colors on the screen were easy to see.","Im not sure if I liked that the buttons for automation were so close to buttons that had other functions, it seems like one could accidentally press the automation buttons when they didnt mean to.","no","no","1","1","","4","1","4","1","0","2","4","1","4","0","4","0","","1","i am definitely not a fan of speech outputs in cars, i find it annoying and interuptive","maybe there could be some type of haptics in the steering wheel to alert changing in levels of automation, like a vibration"
