"id","submitdate","lastpage","startlanguage","seed","startdate","datestamp","VPCode[VPCode1]","VPCode[VPCode2]","VPCode[VPCode3]","Instruktion","Alter","Geschlecht","Nation","NationGeb","NationGeb2","Farbfehlsichtigkeit","Farbfehlsichtigkeit2","Erfahrung","KmJahr","Vorwissen[VorwissenAut]","FAS[CC]","FAS[ACC]","FAS[LKA]","FAS[None]","OftCC","AutomarkeCC","OftACC","AutomarkeACC","OftLKA","AutomarkeLKA","VSM01[VSM01]","VSM01[VSM02]","VSM01[VSM03]","VSM01[VSM04]","VSM01[VSM05]","VSM01[VSM06]","VSM01[VSM07]","VSM01[VSM08]","VSM01[VSM09]","VSM01[VSM10]","VSM11[VSM11]","VSM11[VSM12]","VSM11[VSM13]","VSM11[VSM14]","VSM15[VSM15]","VSM15[VSM16]","VSM17[VSM17]","VSM18[VSM18]","VSM19[VSM19]","VSM20[VSM20]","VSM21[VSM21]","VSM21[VSM22]","VSM21[VSM23]","VSM21[VSM24]","UsabFactor[1]","UsabFactor[2]","UsabFactor[3]","UsabFactor[4]","UsabFactor[5]","UsabFactor[6]","UsabFactor[7]","UsabFactor[8]","UsabFactor[9]","UsabFactor[10]","UsabFactor[11]","UsabFactor[12]","UsabFactor[13]","UsabFactor[14]","UsabFactor[15]","UsabFactor[16]","UsabFactor[17]","UsabFactor[18]","UsabFactor[19]","UsabFactor[21]","UsabFactor[22]","UsabFactor[23]","UsabFactor[24]","UsabFactor[25]","TPComments"
"41","2021-07-26 09:32:03","5","en","1861338433","2021-07-26 09:15:02","2021-07-26 09:32:03","SO","BA","01","","46","1","USA","Y","South Korean","N","","1","0","4","Y","Y","Y","","1","Tesla, Lexus","1","Tesla, Lexus","1","Tesla","1","1","2","2","2","1","2","1","3","2","1","3","2","3","3","2","3","1","3","3","2","2","3","4","6","6","6","6","6","6","6","5","5","5","6","5","1","5","6","6","6","5","6","6","6","4","6","6","None"
"42","2021-07-26 23:28:58","5","en","1766766165","2021-07-26 22:50:30","2021-07-26 23:28:58","DO","NI","09","","44","0","USA","N","","N","","3","2","1","Y","","Y","","3","VW, Ford","","","0","can't remember, it was a rental car.","1","3","3","3","1","1","1","1","5","2","1","3","1","2","3","2","3","2","3","5","2","3","2","3","5","6","6","6","6","6","5","3","5","4","6","6","2","6","6","5","5","6","6","6","6","1","5","6","It was a little weird seeing the first half of the survey with the higher approval or 'strongly agree' answer on the far left of the scale, and then, on the second half of the survey, the 'strongly agree' type of answer was on the far right of the scale.  "
"43","2021-07-28 13:04:31","5","en","642130811","2021-07-28 12:53:54","2021-07-28 13:04:31","DO","DA","06","","30","1","usa","N","","N","","3","2","1","Y","","","","1","Mazda, volvo","","","","","1","1","2","2","1","1","2","1","3","2","1","3","2","1","4","2","4","1","3","3","2","3","5","5","6","6","6","5","5","6","6","4","5","4","6","3","0","5","6","4","2","6","5","6","6","0","3","5",""
"44","2021-07-29 10:31:45","5","en","845267952","2021-07-29 10:16:59","2021-07-29 10:31:45","AZ","GA","08","","52","1","USA","Y","IRAN","N","","3","0","1","Y","","","","1","BMW,  Infinity","","","","","1","2","2","2","2","1","1","1","3","2","2","3","2","2","3","2","3","1","2","4","3","2","3","2","4","6","6","6","5","6","5","3","5","3","6","5","0","5","6","3","3","2","4","6","6","1","4","6",""
"45","2021-07-29 10:59:20","5","de","1838869433","2021-07-29 10:34:22","2021-07-29 10:59:20","CH","EM","10","","45","0","Deutsch - Amerikanisch (USA)","Y","Amerikanisch (USA)","N","","4","2","0","Y","","","","2","Mercedes Benz - Jeep - Mitsubishi","","","","","2","5","3","3","2","2","2","2","4","3","2","2","3","3","4","2","3","2","2","4","4","4","4","2","5","4","6","5","6","6","6","2","6","5","5","3","3","6","5","5","5","4","5","5","6","4","5","6",""
"46","2021-07-29 12:06:11","5","en","66997854","2021-07-29 11:58:49","2021-07-29 12:06:11","MA","JO","09","","38","0","USA","N","","N","","1","0","2","Y","","Y","","2","Audi","","","1","Honda","1","1","2","4","2","1","1","2","3","4","1","2","2","3","3","2","3","3","2","3","2","2","3","4","1","4","6","4","5","6","6","4","6","3","4","3","3","6","6","2","2","2","3","5","6","2","5","5",""
"47","2021-07-29 15:57:44","5","en","1711120377","2021-07-29 15:48:02","2021-07-29 15:57:44","Di","Ch","12","","41","1","USA","N","","N","","2","0","0","Y","","","","3","BMW, Toyota, Acura,Mazda","","","","","1","1","2","2","2","2","2","1","3","2","2","4","2","4","3","2","4","2","2","2","1","2","4","4","4","6","6","5","6","6","5","5","5","2","4","2","4","6","5","4","2","0","5","6","4","2","4","6",""
"48","2021-07-31 16:58:06","5","en","25561518","2021-07-31 16:46:21","2021-07-31 16:58:06","NA","WI","05","","36","1","USA","N","","N","","2","1","2","Y","","Y","","1","Toyota, Audi ","","","1","Audi ","2","2","3","2","2","2","3","2","4","3","2","3","2","3","4","2","4","1","1","4","2","2","4","2","2","5","6","5","4","5","4","2","4","2","5","4","2","2","5","3","3","2","5","6","5","2","2","5",""
"49","2021-08-01 17:04:29","5","en","1078525177","2021-08-01 16:46:24","2021-08-01 17:04:29","SC","FL","01","","34","0","USA - American Citizen","N","","N","","1","0","3","Y","Y","Y","","2","Mercedes-Benz, BMW, Ford, Chevorlet","1","Mercedes-Benz","1","Mercedes-Benz","2","1","2","2","1","1","2","1","3","2","1","2","1","1","3","2","2","2","4","3","1","2","3","3","5","5","5","6","5","6","5","4","5","4","5","4","3","4","4","4","3","3","3","5","4","3","3","6","I don't understand how the first section's personal/work decisions were related to the last section, but maybe they're to give you an idea about what type of person I am."
"50","2021-08-02 10:42:54","5","en","2027267007","2021-08-02 10:33:50","2021-08-02 10:42:54","EW","RM","10","","33","0","United States","Y","Germany","N","","0","0","1","Y","Y","Y","","4","Mercedes Benz","0","Mercedes Benz","1","Mercedes Benz","2","2","2","2","1","1","1","1","4","2","2","3","1","5","3","2","2","2","1","3","2","2","1","4","5","6","6","5","6","6","4","4","5","5","5","4","4","5","5","6","4","5","4","5","4","5","6","6","none
"
"51","2021-08-02 13:20:44","5","en","1498255130","2021-08-02 13:13:32","2021-08-02 13:20:44","AP","HO","11","","25","1","American","N","","N","","1","0","1","Y","","","","2","Hyundai accent","","","","","1","2","2","2","2","2","4","2","3","2","1","3","3","3","2","2","4","2","2","4","1","2","2","2","4","4","6","6","6","5","4","4","4","3","5","5","1","4","4","4","1","2","4","5","4","1","5","6",""
"52","2021-08-02 21:13:07","5","en","2048260803","2021-08-02 20:45:52","2021-08-02 21:13:07","Ju","Mi","01","","24","0","United States of America","N","","N","","0","0","3","Y","Y","Y","","2","Mercedes Benz, BMW, VW Group","1","Mercedes Benz, BMW, VW Group","0","Mercedes, BMW, VW Group, but only tried a couple times. Not used.","1","2","2","2","3","1","2","2","2","1","2","2","1","2","3","2","3","2","1","4","2","2","1","2","5","6","6","5","6","6","5","4","6","4","6","3","1","4","5","3","3","5","5","5","5","2","3","6",""
"53","2021-08-03 11:12:51","5","en","1455528172","2021-08-03 10:37:09","2021-08-03 11:12:51","VE","CW","09","","60","0","African American","N","","N","","3","0","1","Y","Y","","","1","BMW  AUDI A8","1","AUDI A8","","","1","1","1","1","1","1","2","1","2","1","2","4","2","2","3","2","3","1","4","4","1","1","2","3","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","3","3","6","6","6","6","6","no thank you."
"54","2021-08-04 10:02:33","5","en","1626218782","2021-08-04 09:54:53","2021-08-04 10:02:33","MI","ST","10","","34","1","American","N","","N","","1","0","1","Y","","","","1","Chevrolet","","","","","1","1","2","2","2","1","1","1","3","3","1","1","1","1","3","3","3","1","3","2","1","2","3","5","3","4","6","6","3","5","5","3","4","3","3","2","2","6","4","5","3","3","3","3","4","0","3","3",""
"55","2021-08-04 10:27:15","5","en","1269500467","2021-08-04 10:18:51","2021-08-04 10:27:15","RO","RO","09","","36","0","United States of America","N","","N","","2","1","2","Y","","Y","","1","Ford, Chevrolet, nissan, toyota, GMC, honda","","","2","Honda, Ford, BMW, Mercedes, audi","1","2","2","1","2","2","3","1","3","1","2","2","2","1","3","2","4","2","1","4","2","4","4","5","5","6","6","4","4","6","4","3","5","1","5","4","1","6","6","5","5","1","3","6","6","1","5","6","no"
"56","2021-08-04 18:48:54","5","en","191232741","2021-08-04 17:35:09","2021-08-04 18:48:54","TA","GR","03","","34","0","USA","Y","Latvia","N","","1","1","1","Y","Y","","","1","Volkswagen, Chevrolet, Mini","1","Volkswagen","","","2","3","4","3","1","1","3","5","5","4","3","3","1","4","4","2","3","2","1","3","1","1","4","4","1","1","6","5","2","4","3","3","4","3","5","4","1","5","4","1","1","3","3","5","4","1","5","6","My gut reaction to the survey is mild concern that some automated driving systems might be designed to be immersive. I understand this to mean that the interface keeps the driver from periodically evaluating the traffic situation outside the vehicle. In my experience the best way to minimize risk for all parties on the roads is to behave predictably. Changing driving modes seems like something that should happen only when a driver can consider both the suggestions of the vehicle, and the traffic situation outside the vehicle.

For example, as a following vehicle, I would be surprised and forced to react if a vehicle shifts up when an uphill slope starts to level out but the top of the hill is not necessarily in view yet, whereas from my perspective a normal driver would continue maintaining their climbing speed until cresting the hill if they are aware that there are other vehicles maintaining the exact same climbing speed directly behind them. Another example would be when traveling on a two lane highway and deciding to start cruise. It may be safe to enable cruise in either lane when no vehicles are immediately in front of the drivers vehicle, but a normal driver would not do so if, in the far distance, there are big rigs overtaking each other and taking up the passing lane for what the driver knows is an extended time. As a following vehicle, I would also not expect the drivers vehicle to be on cruise and their attention off the traffic situation and would expect them to allow a pass if I am approaching the overtaking rigs at a higher speed than they are.

As a lifelong motorcyclist, it is hard to imagine traffic being safe for me when a drivers attention is away from the road for any extended period of time. Minor cues like a quick turn of the head to check a side-view mirror are life-saving, even if the driver in the end does not decide to perform a lane change. Although it should be enough for an automated system to warn the driver of my presence, in my experience it far safer for the motorcyclist themselves to take predictable cues from the driving behavior of the vehicle ahead and choose to avoid being in their vicinity while they adjust their driving posture."
"57","2021-08-05 10:58:26","5","en","868431898","2021-08-05 10:45:05","2021-08-05 10:58:26","Jo","He","10","","47","1","American","Y","Taiwanese","N","","1","0","0","Y","","","","1","Toyota","","","","","3","2","2","1","3","1","3","3","4","2","3","4","5","1","4","3","3","3","2","3","2","1","4","3","2","6","6","6","5","6","6","4","6","5","6","3","0","6","6","0","4","4","6","6","3","0","0","6","No"
"58","2021-08-05 12:57:40","5","en","2092865479","2021-08-05 12:51:53","2021-08-05 12:57:40","DA","GR","06","","32","0","American","N","","N","","2","0","2","Y","Y","","","1","Ford, Peugeot, Citroen, Dodge","1","Dodge","","","2","1","3","3","2","1","2","3","3","2","3","4","2","2","3","2","3","1","1","4","1","3","3","5","2","6","6","3","3","5","4","4","2","3","6","5","2","6","5","1","4","0","6","5","4","2","4","6","No."
"59","2021-08-05 20:39:42","5","en","751045791","2021-08-05 20:12:11","2021-08-05 20:39:42","KA","AL","01","","34","0","USA","N","","Y","Slight Red/Green insensitivity, not severe","4","1","2","Y","Y","Y","","1","Ford, Chevrolet, Toyota, Hyundai, Mercedes, Dodge, Iveco, Nissan, Honda, Mitsubishi","1","Toyota, Chevrolet, Ford, Honda","1","Ford, Chevrolet, Toyota","2","2","2","2","3","1","2","1","4","3","1","4","3","3","4","2","3","2","4","3","1","2","4","4","5","6","6","6","6","6","5","4","5","2","4","4","3","5","6","5","4","3","5","6","5","4","4","6","As someone who enjoys driving, even on relatively boring longer trips, I would have to be very enticed by and have full trust in any automated driving system."

