"id","submitdate","lastpage","startlanguage","seed","startdate","datestamp","Instruktion","Alter","Geschlecht","Nation[1]","Nation[other]","NationGeb","NationGeb2","Erfahrung","KmJahr","Vorwissen[VorwissenAut]","FAS[CC]","FAS[ACC]","FAS[LKA]","FAS[None]","OftCC","AutomarkeCC[Audi]","AutomarkeCC[BMW]","AutomarkeCC[Buic]","AutomarkeCC[Cadi]","AutomarkeCC[Chev]","AutomarkeCC[Dodg]","AutomarkeCC[Ford]","AutomarkeCC[Hyun]","AutomarkeCC[Jeep]","AutomarkeCC[Fiat]","AutomarkeCC[Kia]","AutomarkeCC[Land]","AutomarkeCC[Lexu]","AutomarkeCC[Mazd]","AutomarkeCC[Merc]","AutomarkeCC[Niss]","AutomarkeCC[Opel]","AutomarkeCC[Peug]","AutomarkeCC[Pors]","AutomarkeCC[Rena]","AutomarkeCC[Seat]","AutomarkeCC[Skod]","AutomarkeCC[Suba]","AutomarkeCC[Tesl]","AutomarkeCC[Toyo]","AutomarkeCC[VW]","AutomarkeCC[Volv]","AutomarkeCC[other]","OftACC","AutomarkeACC[Audi]","AutomarkeACC[BMW]","AutomarkeACC[Buic]","AutomarkeACC[Cadi]","AutomarkeACC[Chev]","AutomarkeACC[Dodg]","AutomarkeACC[Ford]","AutomarkeACC[Hyun]","AutomarkeACC[Jeep]","AutomarkeACC[Fiat]","AutomarkeACC[Kia]","AutomarkeACC[Land]","AutomarkeACC[Lexu]","AutomarkeACC[Mazd]","AutomarkeACC[Merc]","AutomarkeACC[Niss]","AutomarkeACC[Opel]","AutomarkeACC[Peug]","AutomarkeACC[Pors]","AutomarkeACC[Rena]","AutomarkeACC[Seat]","AutomarkeACC[Skod]","AutomarkeACC[Suba]","AutomarkeACC[Tesl]","AutomarkeACC[Toyo]","AutomarkeACC[VW]","AutomarkeACC[Volv]","AutomarkeACC[other]","OftLKA","AutomarkeLKA[Audi]","AutomarkeLKA[BMW]","AutomarkeLKA[Buic]","AutomarkeLKA[Cadi]","AutomarkeLKA[Chev]","AutomarkeLKA[Dodg]","AutomarkeLKA[Ford]","AutomarkeLKA[Hyun]","AutomarkeLKA[Jeep]","AutomarkeLKA[Fiat]","AutomarkeLKA[Kia]","AutomarkeLKA[Land]","AutomarkeLKA[Lexu]","AutomarkeLKA[Mazd]","AutomarkeLKA[Merc]","AutomarkeLKA[Niss]","AutomarkeLKA[Opel]","AutomarkeLKA[Peug]","AutomarkeLKA[Pors]","AutomarkeLKA[Rena]","AutomarkeLKA[Seat]","AutomarkeLKA[Skod]","AutomarkeLKA[Suba]","AutomarkeLKA[Tesl]","AutomarkeLKA[Toyo]","AutomarkeLKA[VW]","AutomarkeLKA[Volv]","AutomarkeLKA[other]","VSMq01[VSM01]","VSMq01[VSM02]","VSMq01[VSM03]","VSMq01[VSM04]","VSMq01[VSM05]","VSMq01[VSM06]","VSMq01[VSM07]","VSMq01[VSM08]","VSMq01[VSM09]","VSMq01[VSM10]","VSMq11[VSM11]","VSMq11[VSM12]","VSMq11[VSM13]","VSMq11[VSM14]","VSMq15[VSM15]","VSMq15[VSM16]","VSMq17[VSM17]","VSMq18[VSM18]","VSMq19[VSM19]","VSMq20[VSM20]","VSMq21[VSM21]","VSMq21[VSM22]","VSMq21[VSM23]","VSMq21[VSM24]","UsabFactor[1]","UsabFactor[2]","UsabFactor[3]","UsabFactor[4]","UsabFactor[5]","UsabFactor[6]","UsabFactor[7]","UsabFactor[8]","UsabFactor[9]","UsabFactor[10]","UsabFactor[11]","UsabFactor[12]","UsabFactor[13]","UsabFactor[14]","UsabFactor[15]","UsabFactor[16]","UsabFactor[17]","UsabFactor[18]","UsabFactor[19]","UsabFactor[21]","UsabFactor[22]","UsabFactor[23]","UsabFactor[24]","UsabFactor[25]","Ausschluss","TPComments","Farbfehlsichtigkeit"
"29","2022-01-13 19:45:06","4","en","275008668","2022-01-13 19:35:46","2022-01-13 19:45:06","","36","0","Y","British","Y","British","4","2","4","Y","Y","Y","","3","Y","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","3","","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","3","","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","4","3","2","5","4","1","1","3","5","2","2","5","1","5","4","1","4","1","2","2","1","2","3","5","5","2","6","6","5","2","4","3","4","0","4","0","4","4","4","4","0","0","5","5","4","0","4","6","","",""
"30","2022-01-15 01:55:38","4","en","1741041429","2022-01-13 21:20:50","2022-01-15 01:55:38","","33","0","Y","","N","","3","2","1","Y","","","","1","","","","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","2","1","1","3","2","2","4","3","2","1","2","4","2","2","4","3","2","3","4","1","2","3","4","4","5","6","4","4","5","5","3","2","1","4","3","0","4","5","4","3","3","3","5","5","0","1","3","","",""
"31","2022-01-14 03:10:03","4","en","1086111395","2022-01-14 03:08:54","2022-01-14 03:10:03","","31","0","","Indian","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NIL",""
"32","2022-01-14 18:34:16","4","en","364051746","2022-01-14 18:15:40","2022-01-14 18:34:16","","28","0","Y","","N","","4","1","3","Y","","","","3","","","","","Y","","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","1","1","1","1","1","1","1","4","1","3","3","2","3","2","4","5","1","2","2","3","4","6","6","6","6","6","6","5","5","3","6","3","2","5","6","3","3","3","6","6","5","3","3","6","","From the questions provided, there is weight on the social connectivity of these devices and the concept of immersion. While these can be beneficial attributes, their ability to draw away from the functionality is my main concern. I think distraction and loosing track of time are detrimental to human factors and the interaction of the user and the interface to accomplish a goal. The main case where this would be mitigated would be in a fully autonomous vehicle where the user's attention have no impact on the accomplishment of the desire goal (transport). In this case, it would be a great advantage to have this capability.

I personally find drivers attention to the road to be the biggest concerning factor in America, which is why I raised this point. Furthermore the wandering gaze to screens and connective devices whether they be installed in the car or handheld are a primary issue for the distracted drivers, typically manifested through social media our audio/video immersion. For elevation of human factors in automobiles, car autonomy and heads up displays are primary to the improvement in performance and safety. Additionally, voice activated control over secondary functionality (social, immersion, etc) would be of great benefit as the world is moving toward hands free but are still limited in functionality due to voice recognition capabilities in current devices. ",""
"33","2022-01-14 18:27:46","4","en","1031266619","2022-01-14 18:16:05","2022-01-14 18:27:46","","28","1","Y","","N","","0","0","1","Y","","Y","","1","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","Saab","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","Unknown ","1","1","3","1","1","2","1","2","4","3","1","3","3","4","2","2","4","2","4","3","1","3","3","4","4","5","6","5","6","6","6","3","6","3","6","3","3","6","6","6","3","3","3","6","6","0","6","6","","The question regarding “moderation:” in the beginning was unclear and thus the answer there less reliable. ",""
"34","2022-01-17 06:35:45","4","en","676658713","2022-01-17 06:17:23","2022-01-17 06:35:45","","40","0","Y","","N","","3","2","2","Y","Y","Y","","2","Y","Y","","Y","Y","Y","Y","","Y","","","Y","","","Y","","","","","","","","Y","","Y","","","Tesla","2","","Y","","","Y","Y","Y","","Y","","","Y","","","Y","","","","","","","","","","Y","","","Tesla","2","","","","","","","","","","","","Y","","","Y","","","","","","","","","","","","","Tesla","1","2","2","3","1","1","1","1","3","3","1","4","1","4","2","2","5","1","3","4","1","1","4","2","6","6","6","6","6","6","6","6","6","6","6","6","0","6","6","6","4","5","3","6","6","0","6","6","","Happy New Year, Deike! 💙",""
"36","2022-01-17 16:42:56","4","en","825610919","2022-01-17 16:17:35","2022-01-17 16:42:56","","31","1","Y","","Y","Venezuelan","4","1","1","Y","","Y","","1","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","1","1","1","1","1","1","1","1","1","3","1","3","3","3","3","2","4","1","3","4","2","1","3","4","5","6","6","6","6","6","5","3","6","4","6","4","4","6","6","6","3","3","3","6","6","4","6","6","","",""
"37","2022-01-17 17:25:08","4","en","41344929","2022-01-17 17:14:14","2022-01-17 17:25:07","","58","2","Y","","N","","3","0","1","Y","","Y","","3","","","","","Y","","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","2","1","3","3","2","1","2","2","3","3","3","3","4","3","3","4","2","3","3","4","2","2","1","4","6","5","6","5","6","6","5","5","4","1","6","1","0","5","5","3","4","1","5","6","5","0","5","2","","",""
"39","2022-01-18 18:32:18","4","en","762124593","2022-01-18 18:23:23","2022-01-18 18:32:18","","53","0","Y","","N","","4","1","1","Y","","","","1","","","","","","","Y","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","3","4","2","4","3","3","2","4","2","3","3","4","3","4","2","4","3","1","4","1","2","3","3","4","6","6","5","6","6","5","3","5","3","5","5","2","4","6","5","5","6","5","6","5","5","6","6","","",""
"40","2022-01-18 18:50:15","4","en","1445391623","2022-01-18 18:23:36","2022-01-18 18:50:15","","66","1","Y","","N","","3","0","1","Y","","","","2","","","","","Y","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","3","1","1","1","2","1","3","3","1","2","2","1","5","1","3","2","1","3","1","1","2","2","4","6","6","6","6","6","6","3","6","3","6","3","6","6","3","6","3","3","5","6","6","3","6","6","","",""
"41","2022-01-18 18:30:03","4","en","1100169170","2022-01-18 18:24:57","2022-01-18 18:30:03","","43","0","Y","","Y","guyana","3","2","0","Y","Y","Y","","1","","","","","","Y","","","","","","","Y","","","Y","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","0","","","","","","","","","","","","","Y","","","","","","","","","","","","","","","","3","3","4","4","4","3","4","4","3","4","5","4","4","5","4","1","4","2","2","3","2","3","2","2","4","4","3","4","4","6","5","4","5","4","4","5","4","4","5","6","4","5","6","5","6","5","4","4","","",""
"42","2022-01-18 18:30:19","4","en","34518789","2022-01-18 18:25:42","2022-01-18 18:30:19","","25","0","Y","","N","","4","2","3","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","","Y","","","","","","","","","","Y","","Y","Y","","","","","","","","","Y","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","2","2","2","3","3","2","3","4","3","2","3","4","3","4","2","2","1","1","4","2","1","2","2","5","6","5","6","5","5","5","6","5","6","5","4","3","4","4","5","5","4","6","5","4","5","6","5","","",""
"43","2022-01-18 18:38:27","4","en","1855945560","2022-01-18 18:32:21","2022-01-18 18:38:27","","33","0","Y","","N","","4","2","1","Y","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","Inifniti","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","5","5","5","5","5","4","4","4","5","3","3","4","4","5","2","4","1","4","2","3","2","2","3","3","6","6","5","6","5","6","0","5","1","6","0","0","5","5","3","3","3","6","6","4","0","2","6","","None",""
"44","2022-01-18 18:45:25","4","en","62694448","2022-01-18 18:41:15","2022-01-18 18:45:25","","69","1","Y","","N","","4","1","0","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","1","1","1","1","1","1","2","2","1","1","3","2","4","3","1","3","1","1","2","2","3","0","0","1","1","0","0","2","0","2","0","3","4","0","0","0","1","1","0","0","0","2","0","0","","none.",""
"45","2022-01-18 18:48:16","4","en","231312544","2022-01-18 18:41:30","2022-01-18 18:48:16","","30","0","Y","","N","","3","0","3","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","5","5","4","4","5","5","5","5","4","5","5","4","5","5","4","4","5","4","4","4","4","4","5","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","","None.",""
"46","2022-01-18 19:19:52","4","en","859678535","2022-01-18 19:09:12","2022-01-18 19:19:52","","34","0","Y","","Y","United States ","4","1","1","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","2","2","2","2","2","3","2","2","2","2","2","2","2","1","4","4","2","2","2","2","3","3","3","3","2","5","5","3","4","5","4","4","4","4","4","4","5","5","4","3","3","4","5","4","3","4","4","","no",""
"47","2022-01-18 19:32:26","4","en","335385598","2022-01-18 19:25:31","2022-01-18 19:32:26","","31","1","Y","","N","","4","0","0","Y","","","","2","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","2","2","1","2","1","3","3","4","3","2","5","3","5","4","2","3","2","3","3","1","2","5","4","0","6","6","4","0","4","5","0","2","0","6","0","0","4","5","0","0","0","5","6","0","0","0","6","","no",""
"48","2022-01-18 19:34:52","4","en","1211994596","2022-01-18 19:28:06","2022-01-18 19:34:52","","32","0","Y","","N","","3","1","3","Y","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","2","1","2","2","2","2","3","1","1","2","2","2","3","5","1","2","3","1","3","2","3","2","2","5","4","5","5","6","6","4","4","6","4","6","5","4","4","5","4","6","4","4","5","5","4","5","6","","The survey was interesting and informative.",""
"50","2022-02-07 18:32:46","4","en","1711129045","2022-02-07 18:20:22","2022-02-07 18:32:46","","57","0","Y","","N","","4","2","0","Y","Y","Y","","1","","","","","Y","","","","","","","","","","","","","","Y","","","","","","","","","honda","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","Honda","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","honda","1","2","2","2","1","3","3","1","4","3","2","2","3","3","4","2","3","4","1","4","2","2","2","4","3","4","6","4","6","5","5","6","5","2","5","3","3","5","6","3","3","3","3","5","4","3","3","4","","",""
"51","2022-03-13 18:20:29","4","en","1471874989","2022-03-13 16:50:30","2022-03-13 18:20:29","","25","0","Y","","N","","3","3","3","Y","Y","Y","","5","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","5","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","5","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","","",""
"52","2022-05-07 20:01:29","4","en","1156138441","2022-05-07 20:00:32","2022-05-07 20:01:29","","36","1","","Asian","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"53","2022-05-07 20:22:17","4","en","984975752","2022-05-07 20:01:43","2022-05-07 20:22:17","","36","1","Y","","Y","Asian","3","1","3","Y","","","","1","","","","","","","","Y","","","","","","","","","","","","","","","","","","","","Honda","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","2","1","2","1","1","3","2","2","1","2","3","4","4","4","2","4","1","3","2","3","2","3","3","4","4","6","6","4","6","5","2","6","2","4","4","1","6","5","3","3","2","1","6","5","1","3","6","","Overall, reliability and easy to use are the most important factors for me.  A simple and straightforward user interface without needing to dig out the thick menu is a must.",""

