"id","submitdate","lastpage","startlanguage","seed","startdate","datestamp","VPNr","HMI","Datum","VPCode[SQ001]","VPCode[SQ002]","VPCode[SQ003]","Alter","Geschlecht","Erfahrung","KilometerJahr","Sehhilfe","Farbfehlsichtigkeit","Farbfehlsichtigkeit2","Vorwissen[SQ001]","FAS[SQ001]","FAS[SQ002]","FAS[SQ003]","FAS[SQ004]","OftCC","AutomarkeCC","OftACC","AutomarkeACC","OftLKA","AutomarkeLKA","Zwischenfolie"
"66","2020-10-23 10:50:28","1","de","","2020-10-23 10:46:33","2020-10-23 10:50:28","32","A1","2020-10-23 10:46:41","Ch","Be","08","56","A1","A2","A3","A1","N","","A1","","","","Y","","","","","","",""
"67","2020-10-23 14:05:55","1","de","","2020-10-23 14:01:01","2020-10-23 14:05:55","75","A2","2020-10-23 14:01:09","El","Ru","15","54","A2","A4","A1","A1","N","","A1","Y","","","","A5","VW Golf","","","","",""
"68","2020-10-26 08:44:27","1","de","","2020-10-26 08:41:21","2020-10-26 08:44:27","33","A1","2020-10-26 08:41:40","Ly","Ha","04","45","A1","A1","A3","A3","N","","A1","","","","Y","","","","","","",""
"69","2020-10-26 10:50:14","1","de","","2020-10-26 10:44:58","2020-10-26 10:50:14","76","A2","2020-10-26 10:45:07","Ka","Ol","29","20","A1","A1","A4","A1","N","","A2","Y","","Y","","A3","Mercedes, Citroen, Ford, VW","","","A5","Citroen, Mercedes",""
"70","2020-10-27 10:38:57","1","de","","2020-10-27 10:36:39","2020-10-27 10:38:57","34","A1","2020-10-27 10:37:01","An","Jö","11","22","A2","A2","A3","A1","N","","A1","Y","","Y","","A4","BMW, SEAT, SKODA","","","A4","BMW, SEAT, SKODA",""
"71","2020-10-27 13:32:25","1","de","","2020-10-27 13:29:39","2020-10-27 13:32:25","35","A1","2020-10-27 13:29:50","An","Be","16","40","A1","A1","A4","A2","N","","A3","Y","Y","","","A5","BMW, Audi","A5","BMW, Audi ","","",""
"72","2020-10-27 15:41:19","1","de","","2020-10-27 15:38:30","2020-10-27 15:41:19","77","A2","2020-10-27 15:38:47","Ma","He","06","22","A2","A2","A2","A2","N","","A1","Y","","","","A4","VW, mercedes","","","","",""
"73","2020-10-29 08:37:24","1","de","","2020-10-29 08:32:04","2020-10-29 08:37:24","78","A2","2020-10-29 08:32:37","He","Le","31","65","A1","A1","A3","A1","N","","A2","Y","Y","Y","","A3","BMW Mercedes","A3","BMW Audi","A3","BMW Audi",""
"74","2020-10-29 10:45:09","1","de","","2020-10-29 10:36:49","2020-10-29 10:45:09","79","A2","2020-10-29 10:37:02","Li","Ad","16","58","A2","A2","A2","A1","N","","A1","","","","Y","","","","","","",""
"75","2020-10-29 13:13:07","1","de","","2020-10-29 13:03:59","2020-10-29 13:13:07","36","A1","2020-10-29 13:04:08","Ge","Ge","24","49","A1","A1","A4","A1","N","","A3","Y","Y","Y","","A3","Bmw","A5","Audi","A5","Audi",""
"76","2020-10-29 15:38:01","1","de","","2020-10-29 15:35:42","2020-10-29 15:38:01","37","A1","2020-10-29 15:35:57","Ka","Th","22","27","A2","A2","A3","A1","N","","A1","Y","","","","A4","Opel","","","","",""
"77","2020-10-30 08:46:55","1","de","","2020-10-30 08:37:14","2020-10-30 08:46:55","80","A2","2020-10-30 08:37:25","Ly","As","02","59","A1","A1","A3","A3","N","","A3","Y","Y","Y","","A1","Mercedes.     BMW.  VW","A1","Mercedes","A1","Mercedes",""
"78","2020-10-30 10:44:20","1","de","","2020-10-30 10:41:21","2020-10-30 10:44:20","38","A1","2020-10-30 10:41:30","L","He","06","28","A2","A2","A3","A2","N","","A2","Y","","","","A3","Renault","","","","",""
"79","2020-10-30 13:25:53","1","de","","2020-10-30 13:09:38","2020-10-30 13:25:53","81","A1","2020-10-30 13:12:20","Ge","Ge","23","46","A1","A1","A3","A1","N","","A1","Y","Y","Y","","A4","VW AUDI BMW","A5","AUDI","A5","AUDI",""
"80","2020-10-30 15:50:08","1","de","","2020-10-30 15:46:27","2020-10-30 15:50:08","82","A2","2020-10-30 15:46:35","Mi","Ha","04","28","A1","A1","A4","A1","N","","A3","Y","","Y","","A3","BMW","","","A5","BMW",""

