"id","submitdate","lastpage","startlanguage","seed","startdate","datestamp","Datum","VP","HMI","Wetter","Licht","VPCode[VPCode1]","VPCode[VPCode2]","VPCode[VPCode3]","Sehhilfe1[SehhilfeAuto]","Sehhilfe1[SehhilfeLesen]","Sehhilfe2[SehhilfeAutoJetzt]","Sehhilfe2[SehhilfeLesenJetzt]","StopPage","StopPage2","TC01LevelSel","TC01LevelSel[other]","TC01ChangeAvail","TC01ChangeAvailSel","TC01ChangeAvailSel[other]","TC01HandsOffAllow","TC01EmailsAllow","TC01ER","TC01RemarksTP","TC01RemarksTL","TC02LevelSel","TC02LevelSel[other]","TC02ChangeAvail","TC02ChangeAvailSel","TC02ChangeAvailSel[other]","TC02HandsOffAllow","TC02EmailsAllow","TC02ER","TC02RemarksTP","TC02RemarksTL","TC03LevelSel","TC03LevelSel[other]","TC03ChangeAvail","TC03ChangeAvailSel","TC03ChangeAvailSel[other]","TC03HandsOffAllow","TC03EmailsAllow","TC03TransProblems","TC03TransProblemsOth","TC03ER","TC03RemarksTP","TC03RemarksTL","TC04LevelSel","TC04LevelSel[other]","TC04ChangeAvail","TC04ChangeAvailSel","TC04ChangeAvailSel[other]","TC04HandsOffAllow","TC04EmailsAllow","TC04ER","TC04RemarksTP","TC04RemarksTL","TC05LevelSel","TC05LevelSel[other]","TC05ChangeAvail","TC05ChangeAvailSel","TC05ChangeAvailSel[other]","TC05HandsOffAllow","TC05EmailsAllow","TC05TransProblems","TC05TransProblemsOth","TC05ER","TC05RemarksTP","TC05RemarksTL","TC06LevelSel","TC06LevelSel[other]","TC06ChangeAvail","TC06ChangeAvailSel","TC06ChangeAvailSel[other]","TC06ChangeAvailReaso","TC06ChangeAvailReaso[other]","TC06HandsOffAllow","TC06EmailsAllow","TC06ER","TC06RemarksTP","TC06RemarksTL","TC07LevelSel","TC07LevelSel[other]","TC07ChangeAvail","TC07ChangeAvailSel","TC07ChangeAvailSel[other]","TC07HandsOffAllow","TC07EmailsAllow","TC07ER","TC07RemarksTP","TC07RemarksTL","TC08LevelSel","TC08LevelSel[other]","TC08ChangeAvail","TC08ChangeAvailSel","TC08ChangeAvailSel[other]","TC08HandsOffAllow","TC08EmailsAllow","TC08ER","TC08RemarksTP","TC08RemarksTL","TC09LevelSel","TC09LevelSel[other]","TC09ChangeAvail","TC09ChangeAvailSel","TC09ChangeAvailSel[other]","TC09HandsOffAllow","TC09EmailsAllow","TC09TransProblems","TC09TransProblemsOth","TC09ER","TC09RemarksTP","TC09RemarksTL","TC10LevelSel","TC10LevelSel[other]","TC10ChangeAvail","TC10ChangeAvailSel","TC10ChangeAvailSel[other]","TC10ChangeAvailReaso","TC10ChangeAvailReaso[other]","TC10HandsOffAllow","TC10EmailsAllow","TC10TransProblems","TC10TransProblemsOth","TC10ER","TC10RemarksTP","TC10RemarksTL","TC11LevelSel","TC11LevelSel[other]","TC11ChangeAvail","TC11ChangeAvailSel","TC11ChangeAvailSel[other]","TC11HandsOffAllow","TC11EmailsAllow","TC11TransProblems","TC11TransProblemsOth","TC11ER","TC11RemarksTP","TC11RemarksTL","TC12LevelSel","TC12LevelSel[other]","TC12ChangeAvail","TC12ChangeAvailSel","TC12ChangeAvailSel[other]","TC12ChangeAvailReaso","TC12ChangeAvailReaso[other]","TC12HandsOffAllow","TC12EmailsAllow","TC12TransProblems","TC12TransProblemsOth","TC12ER","TC12RemarksTP","TC12RemarksTL"
"38","2021-07-22 09:05:50","1","en","","2021-07-22 08:05:22","2021-07-22 09:05:50","2021-07-22 08:05:26","6","HC","0","0","TH","TU","01","4","4","1","1","","","0","","N","","","N","N","1","","","2","","Y","1","","Y","Y","2","","","4","","Y","2","","Y","Y","N","","3","I like that braking deactivates the system","","4","","N","","","Y","Y","1","","","2","","N","","","N","N","Y","Tiny bit, I tended to automatically press the power button","1","","","0","","Y","-oth-","Assisted no longer available","0","","N","N","2","Wish I had a sound","","2","","N","","","N","N","1","Button is not intuitive, because it says aut","","2","","Y","2","","N","N","1","I dont understand the point of assisted, only little helpful to release foot","","4","","N","","","Y","Y","N","","1","","","0","","Y","5","","-oth-","Some Error?","N","N","N","","1","I would like to have a sound","","4","","Y","1","","Y","Y","N","","1","","","0","","Y","5","","1","","N","N","Y","I put my body into driving position,then I noticed that I needed to take over by pressing a button","2","",""
"39","2021-07-22 10:48:41","1","en","","2021-07-22 10:05:47","2021-07-22 10:48:41","2021-07-22 10:06:19","56","LC","0","0","Uu","Lk","12","0","0","","","","","-oth-","2nd","N","","","Y","Y","1","","","1","","N","","","N","N","1","","","-oth-","First automation","N","","","Y","Y","N","","5","","","-oth-","First one","N","","","Y","Y","1","","","-oth-","2nd","N","","","Y","Y","Y","Not sure which one is to switch, buttons confuse me","5","","","-oth-","2nd","N","","","","","Y","Y","2","","","-oth-","2nd","N","","","Y","Y","2"," Question: is assisted the 2nd level?","","-oth-","2nd automation","N","","","Y","Y","2","","","-oth-","3rd","N","","","Y","Y","N","","2","Not used to automated driving, dont feel comfortable yet","","0","","N","","","","","N","N","N","","5","","","-oth-","2nd","N","","","Y","N","N","","3","","","-oth-","2nd","N","","","","","Y","Y","N","","5","Question: when in automation level, do you want me to use the table",""
"40","2021-07-22 13:23:11","1","en","","2021-07-22 12:10:35","2021-07-22 13:23:11","2021-07-22 12:11:45","7","HC","1","0","Ju","Ru","08","0","4","0","1","","","0","","N","","","N","N","1","","","0","","Y","3","","N","N","1","","","4","","Y","-oth-","Notification mod?","Y","Y","N","","3","Cool! Especially if you can trust the car.","","4","","N","","","Y","Y","3","","","2","","N","","","Y","Y","Y","First time problem, not really a problem","3","","","2","","Y","3","","-oth-","Other!","N","N","5","I felt like it wasnt as good as in automated. But still I thought I could engage in a secondary task.","","2","","N","","","N","N","1","","","2","","N","","","N","N","1","","","4","","N","","","Y","Y","N","","1","Noticed that wheel steered, but when I put my hands away, I was told to them back.  ... Simple to switch between assisted and automated, thats good","","0","","N","","","","","N","N","N","","5","I heard a beep, but I dont know if that had anything to do with the car","Eingriff VL","4","","Y","3","","Y","Y","N","","1","","","0","","Y","5","","0","","N","N","N","","5","Now I know that the beep means: look at the display","Searched for emergency brake"
"41","2021-07-22 15:11:51","1","en","","2021-07-22 14:16:39","2021-07-22 15:11:51","2021-07-22 14:16:01","57","LC","1","0","Ru","Ro","02","4","0","1","0","","","1","","N","","","N","N","1","","","-oth-","Automated like cc","Y","2","","N","Y","3","","","4","","N","","","N","Y","N","","3","Noted that car steers, but warning told me to keep hands on steering wheel","","4","","N","","","N","Y","2","","","2","","Y","3","","Y","Y","N","","3","","","2","","N","","","","","Y","Y","2","","","2","","N","","","Y","Y","3","","","2","","N","","","Y","Y","3","","","2","","N","","","N","Y","N","","3","I know now I mixed up assisted and automated","","4","","N","","","","","Y","Y","N","","5","","Did not notice toc","4","","N","","","Y","Y","N","","1","","","-oth-","Normal","Y","-oth-","Still all available","-oth-","Emergency brake","N","N","N","","3","",""
"42","2021-07-27 08:08:02","1","en","","2021-07-27 07:09:00","2021-07-27 08:08:02","2021-07-27 07:09:58","8","HC","0","0","Sh","Da","08","2","1","0","0","","","0","","N","","","N","N","1","","","2","","Y","1","","Y","N","1","","","2","","N","","","Y","N","N","","1","What is the difference between assisted and automated? It told me to put hands on steering wheel, Im curious to experience the system more","","4","","N","","","Y","Y","2","Huge difference in the way the steering wheel felt between assisted and automated. It was a lot smoother and I instantly trusted it more. Assisted had more shakes","","2","","N","","","N","N","N","","2","I dont pay attention to the display. I dont know whether I like assisted, steering feels weird and it distracts","","2","","Y","5","","0","","N","Y","1","I could take away one hand, I could engage only halfway and check the car too","","2","","N","","","Y","N","1","","","2","","Y","2","","N","N","1","","","-oth-","Automatic","N","","","Y","Y","N","","1","Its easy to switch,but I feel like there should be one button for assisted and one for automated","","0","","Y","8","","-oth-","System overload","N","N","N","","2","Very clear display","","-oth-","Automatic","Y","6","","Y","Y","N","","1","I had the notification that they were not available, still I could activate them. I assumed it was a computer error. Since I could activate them, I guessed it was only a display error","","-oth-","Automatic","Y","-oth-","Take over now","-oth-","Sensor something","N","N","N","","3","I didnt switch,I just held on to the wheel. I guess I should have switched; the notification was not clear: should I switch or just take hands on steering wheel? Didnt think",""
"43","2021-07-27 12:46:55","1","en","","2021-07-27 11:35:07","2021-07-27 12:46:55","2021-07-27 11:35:14","58","LC","1","1","Vi","St","12","0","4","0","0","","","0","","N","","","Y","N","1","","","2","","Y","-oth-","Lane centering","Y","N","2","","","4","","Y","-oth-","Car in lanes is now yellow","Y","Y","N","","1","Bright yellow color is good; initially a bit creepy. hesitated","Exhaled loudly","4","","Y","-oth-","Colour change","Y","Y","2","","","2","","Y","-oth-","Color change","N","N","N","","1","","","2","","Y","-oth-","Colour, hod warning, automated function not Not available","1","","N","N","2","Lightly touching was okay, after automated not available warning I knew I had to keep my hands on steering wheel","","2","","Y","-oth-","Colour","N","N","2","The car prompted me to put hands back to the steering wheel, even though its assisted, the display informed me quickly that I still must take care and pay attention. Im impressed","","2","","Y","-oth-","Colour","N","N","1","There is sth in the display bottom panel, but I cant make the image ouT","","4","","Y","-oth-","Colour","Y","Y","N","","1","","","0","","Y","-oth-","Colour, caution pictogram, ","2","","N","N","N","","4","I got totally consumed in secondary task, I didnt notice why it happened, but car took me out of automated driving ","","4","","Y","2","","Y","Y","N","","1","","","0","","Y","-oth-","Went back to manual","-oth-","Remember only second message: ER","N","N","N","","4","I know that the rings indicate the level youre in, I dont know the pictograms though; why didnt the automation stop on its own?",""
"44","2021-07-27 14:56:37","1","en","","2021-07-27 14:00:49","2021-07-27 14:56:37","2021-07-27 14:01:04","9","HC","1","1","El","Te","07","0","2","0","1","","","-oth-","0, original,non-automated","N","","","N","N","1","","","-oth-","0","Y","1","","N","N","1","","","-oth-","2 , automated","N","","","Y","Y","N","","1","Easier than I thought it would be (display)","","4","","N","","","Y","Y","1","","","2","","Y","2","","N","N","N","","1","","","2","","Y","5","","0","","N","N","1","","","2","","Y","-oth-","Greyed out at the bottom","N","N","1","Easier to miss when there was no message at the top","","2","","Y","2","","N","N","1","","","4","","N","","","Y","Y","N","","1","","","0","","Y","-oth-","It said switch to manual","-oth-","System not available or sth like that","N","N","N","","1","I expected a beep","","4","","Y","1","","Y","Y","N","","1","","","0","","Y","6","","-oth-","System error?","N","N","N","","1","Tone was a little sharp, made me hit the brake. a little softer one May have been okay too",""
"45","2021-07-28 08:13:04","1","en","","2021-07-28 07:08:25","2021-07-28 08:13:04","2021-07-28 07:08:38","10","HC","2","1","Ro","He","07","4","0","1","0","","","0","","N","","","N","N","1","","","-oth-","Regular, left","Y","1","","N","N","1","","","4","","Y","-oth-","Automated available Message and green coloured text saying I should turn it on","N","N","Y","I didnt know how to turn it on","5","","Fragt, ob es Touch ist","4","","Y","-oth-","Two lanes in green","N","N","1","","","2","","N","","","Y","Y","N","","3","Felt uncomfortable to take hands away","Focuses on icons","4","","Y","5","","-oth-","System error","N","N","5","I had to pay attention to display","","4","","N","","","N","N","2","","","4","","Y","2","","N","N","2","""why did the sign popup when I was already in automated driving,I was confused""","","4","","Y","-oth-","Logo and blue","Y","Y","N","","2","I realized I used the wrong names before, I got it now, dont feel comfortable with taking hands off","","-oth-","Regular","Y","-oth-","I dont know","-oth-","System error","N","N","N","","3","If it wasnt for the yellow flashing and sound I would Not have noticed it","","4","","Y","2","","Y","Y","N","","2","","","0","","Y","8","","-oth-","No","N","N","N","","1","",""
"46","2021-07-28 10:25:33","1","en","","2021-07-28 09:26:45","2021-07-28 10:25:33","2021-07-28 09:27:08","59","LC","3","2","So","Ba","01","4","3","1","1","","","-oth-","Driver automation","N","","","N","N","1","","","2","","Y","-oth-","Bottom box, all available","N","Y","2","","","2","","Y","-oth-","Bottom icons illuminated, all available","N","Y","N","","3","","","2","","N","","","N","Y","1","","","2","","N","","","N","Y","N","","2","Confused by the announcement, because I already was in assisted","","2","","N","","","","","N","Y","1","","Tc7!","2","","N","","","N","Y","1","I had a Tesla. It would never take you hands away and you were supposed to squeeze it once in a while. Definitely learned behavior from me","Tc6","2","","Y","-oth-","All available, at the start only two icons","N","Y","1","","","4","","N","","","N","Y","N","","1","","","0","","Y","-oth-","Only first available","-oth-","Did not see indication","N","N","N","","5","","","2","","Y","-oth-","I saw message assisted and automated available","N","Y","N","","1","","","2","","N","","","","","N","Y","N","","1","",""
"47","2021-07-28 12:34:04","1","en","","2021-07-28 11:39:05","2021-07-28 12:34:04","2021-07-28 11:40:47","11","HC","2","1","Br","Ro","04","0","0","","","","","1","","N","","","N","N","1","","","-oth-","Fully automated","Y","1","","Y","Y","3","Was not intuitive,that I needed to switch on automation myself","","-oth-","Fully automated","Y","-oth-","All available,all symbols solid white now","Y","Y","N","","1","","","-oth-","Fully automated","N","","","Y","Y","1","","","2","","N","","","N","N","N","","1","HO: not certain if I need to have my hands on steering wheel","","2","","Y","5","","0","","N","N","1","","","2","","N","","","N","N","1","","","2","","Y","2","","N","N","1","","","-oth-","Fully automated","N","","","Y","Y","N","","1","","","0","","Y","8","","-oth-","Not noticed","N","N","N","","1","I would have expected a different type of warning, an audible warning sound. At least the lights started flashing","","-oth-","Fully automated","Y","1","","Y","Y","N","","1","","","0","","Y","-oth-","Did not notice if the other levels were still available","-oth-","Dont think so","N","N","N","","1","",""
"48","2021-07-28 15:06:27","1","en","","2021-07-28 14:00:04","2021-07-28 15:06:27","2021-07-28 14:00:53","60","LC","2","1","Do","Ni","09","0","0","","","","","0","","N","","","N","N","1","","","0","","Y","-oth-","3 icons lit up","N","N","2","","","-oth-","Possibly automated, *","N","","","N","N","N","","3","*I felt like I still needed to steer","","4","","N","","","Y","Y","2","","","-oth-","Automatic","N","","","Y","Y","N","","5","Confused about the difference between blue and yellow; both feel the same, I feel like I dont need to steer and could get distracted","","2","","N","","","","","Y","Y","2","","","2","","N","","","Y","Y","2","","","2","","Y","-oth-","Icon lit up, I guess automated available","Y","N","5","","","4","","N","","","Y","Y","N","","2","","","0","","Y","-oth-","Not sure","0","","N","N","N","","1","","","4","","Y","2","","Y","Y","N","","1","","","0","","Y","8","","0","","N","N","N","","1","",""
"49","2021-07-29 08:09:44","1","en","","2021-07-29 07:21:21","2021-07-29 08:09:44","2021-07-29 07:24:01","12","HC","2","1","Ru","Le","06","4","4","1","1","","","0","","N","","","N","N","1","I usually drive with my knees all the time","","0","","Y","1","","N","N","1","","","4","","N","","","Y","Y","N","","3","","","4","","N","","","Y","Y","1","","","2","","N","","","N","N","N","","3","","","2","","N","","","","","N","N","1","I totally could one hand and write emails,but I know Im not supposed to","","2","","N","","","N","N","1","","","2","","N","","","N","N","1","","","4","","N","","","Y","Y","N","","1","","","0","","Y","8","","0","","N","N","N","","1","","","4","","Y","1","","Y","Y","N","","3","","","0","","Y","8","","-oth-","Sensor triggered","N","N","N","","1","",""
