"id","submitdate","lastpage","startlanguage","seed","startdate","datestamp","VPNr","HMI","Datum","VPCode[SQ001]","VPCode[SQ002]","VPCode[SQ003]","Alter","Geschlecht","Erfahrung","KilometerJahr","Sehhilfe","Farbfehlsichtigkeit","Farbfehlsichtigkeit2","Vorwissen[SQ001]","FAS[SQ001]","FAS[SQ002]","FAS[SQ003]","FAS[SQ004]","OftCC","AutomarkeCC","OftACC","AutomarkeACC","OftLKA","AutomarkeLKA","Zwischenfolie"
"19","2020-10-01 15:42:27","1","de","","2020-10-01 15:36:16","2020-10-01 15:42:27","56","LC_HMI","2020-10-01 15:36:59","Ma","Ka","14.05.1997","23","Männlich","Weniger als einmal pro Monat","< als 5.000 km","Nein","Nein","","2","Ja","N/A","N/A","N/A","Monatlich","VW Konzern","","","","",""
"20","2020-10-02 08:43:10","1","de","","2020-10-02 08:36:06","2020-10-02 08:43:10","4","HC_HMI","2020-10-02 08:36:35","Lu","LE","06","22","Männlich","Mehrmals pro Monat","< als 5.000 km","Nein","Nein","","1","N/A","N/A","N/A","Ja","","","","","","",""
"21","2020-10-02 10:45:15","1","de","","2020-10-02 10:42:03","2020-10-02 10:45:15","5","HC_HMI","2020-10-02 10:42:15","Fü","Be","24","42","Weiblich","Mehrmals pro Woche","5.001 - 10.000 km","Nein","Nein","","Keine Kenntnisse - 0","Ja","N/A","N/A","N/A","Monatlich","BMW, Audi ","","","","",""
"22","2020-10-02 13:44:15","1","de","","2020-10-02 13:40:15","2020-10-02 13:44:15","6","HC_HMI","2020-10-02 13:40:27","Re","Os","15","24","Weiblich","Mehrmals pro Monat","< als 5.000 km","Nein","Nein","","Experte - 4","Ja","Ja","Ja","N/A","Nie","Toyota, BMW","Nie","BMW","Nie","BMW",""
"23","2020-10-02 15:40:30","1","de","","2020-10-02 15:37:31","2020-10-02 15:40:30","7","HC_HMI","2020-10-02 15:37:51","SA","HA","02","23","Männlich","Mehrmals pro Woche","5.001 - 10.000 km","Nein","Nein","","1","Ja","N/A","Ja","N/A","Monatlich","3er BMW","","","Monatlich","Opel Astra",""
"24","2020-10-05 08:44:00","1","de","","2020-10-05 08:41:32","2020-10-05 08:44:00","7","HC_HMI","2020-10-05 08:41:48","An","Kn","05","62","Weiblich","Mehrmals pro Woche","10.001 - 20.000 km","Ja, ich nutze sie auch jetzt","Nein","","1","N/A","N/A","N/A","Ja","","","","","","",""
"25","2020-10-05 10:44:32","1","de","","2020-10-05 10:37:56","2020-10-05 10:44:32","58","LC_HMI","2020-10-05 10:38:12","In","Pe","97","27","Weiblich","Täglich","10.001 - 20.000 km","Ja, ich nutze sie auch jetzt","Nein","","Keine Kenntnisse - 0","Ja","Ja","Ja","N/A","Monatlich","Audi, Ford, VW, Hyundai, range rover, mercedes","Monatlich","Rangerover","Mehrmals täglich","Mercedes, Hyundai, range rover ",""
"26","2020-10-05 13:42:50","1","de","","2020-10-05 13:35:17","2020-10-05 13:42:50","8","HC_HMI","2020-10-05 13:35:33","Ch","Ku1","17","68","Männlich","Täglich","5.001 - 10.000 km","Nein","Nein","","2","Ja","Ja","Ja","N/A","Mehrmals täglich","Toyota, VW","Mehrmals täglich","Toyota, VW","Täglich","VW",""
"27","2020-10-05 15:50:05","1","de","","2020-10-05 15:47:52","2020-10-05 15:50:05","59","LC_HMI","2020-10-05 15:48:04","Ma","No","02","29","Männlich","Weniger als einmal pro Monat","< als 5.000 km","Nein","Nein","","2","Ja","N/A","N/A","N/A","Monatlich","Volkswagen ","","","","",""
"28","2020-10-06 08:40:43","1","de","","2020-10-06 08:30:10","2020-10-06 08:40:43","9","HC_HMI","2020-10-06 08:30:59","Ed","Gü","08","30","Männlich","Mehrmals pro Woche","10.001 - 20.000 km","Nein","Nein","","Experte - 4","Ja","Ja","Ja","N/A","Monatlich","Renault","Nie","Keins","Nie","Keins",""
"29","2020-10-06 10:42:57","1","de","","2020-10-06 10:35:51","2020-10-06 10:42:57","10","HC_HMI","2020-10-06 10:35:02","Ir","Di","22","25","Weiblich","Weniger als einmal pro Monat","< als 5.000 km","Nein","Nein","","Keine Kenntnisse - 0","Ja","N/A","N/A","N/A","Nie","Audi","","","","",""
"30","2020-10-06 13:39:47","1","de","","2020-10-06 13:25:49","2020-10-06 13:39:47","60","LC_HMI","2020-10-06 13:26:57","Re","Be","05","34","Männlich","Täglich","> 20.000 km","Nein","Nein","","Experte - 4","Ja","Ja","Ja","N/A","Mehrmals täglich","Audi, BMW, Mercedes, VW, Fiat, Mitsubishi, Toyota, Renault","Monatlich","Audi, BMW, Mercedes, VW, Toyota","Monatlich","Audi, BMW, Mercedes, VW, Toyota",""
"31","2020-10-06 15:46:04","1","de","","2020-10-06 15:34:45","2020-10-06 15:46:04","61","LC_HMI","2020-10-06 15:35:02","Ma","No","05","22","Weiblich","Täglich","10.001 - 20.000 km","Ja, ich nutze sie jetzt nicht","Nein","","Keine Kenntnisse - 0","Ja","Ja","Ja","N/A","Monatlich","BMW, Opel, Ford, ","Monatlich","Ford","Nie","Ford bmw",""
"32","2020-10-08 08:43:23","1","de","","2020-10-08 08:40:37","2020-10-08 08:43:23","62","LC_HMI","2020-10-08 08:40:51","FR","PE","10","26","Weiblich","Täglich","< als 5.000 km","Nein","Nein","","Keine Kenntnisse - 0","Ja","N/A","N/A","N/A","Nie","Mercedes","","","","",""
"33","2020-10-08 10:43:41","1","de","","2020-10-08 10:33:28","2020-10-08 10:43:41","11","HC_HMI","2020-10-08 10:33:45","Ro","Jo","10","35","Männlich","Täglich","5.001 - 10.000 km","Nein","Nein","","Keine Kenntnisse - 0","Ja","N/A","N/A","N/A","Monatlich","Audi","","","","",""
"34","2020-10-08 13:49:26","1","de","","2020-10-08 13:37:29","2020-10-08 13:49:26","12","HC_HMI","2020-10-08 13:37:40","Ge","Ku","18","75","Männlich","Täglich","10.001 - 20.000 km","Nein","Nein","","1","Ja","Ja","N/A","N/A","Täglich","Lexus","Täglich","Audi","","",""
"35","2020-10-08 15:45:20","1","de","","2020-10-08 15:37:05","2020-10-08 15:45:20","63","LC_HMI","2020-10-08 15:37:21","Sa","Jü","04","48","Männlich","Täglich","> 20.000 km","Nein","Nein","","3","Ja","Ja","Ja","N/A","Mehrmals täglich","BMW, Audi, Porsche, Tesla, usw","Mehrmals täglich","So","Monatlich","So",""
"36","2020-10-09 08:50:59","1","de","","2020-10-09 08:44:08","2020-10-09 08:50:59","64","LC_HMI","2020-10-09 08:44:29","PE","FR","16","31","Männlich","Täglich","10.001 - 20.000 km","Nein","Nein","","2","Ja","Ja","Ja","N/A","Wöchentlich","BMW, Mercedes, Audi, Mazda, Opel","Monatlich","BMW, Mercedes ","Monatlich","BMW, Mercedes, Audi, Mazda",""
"37","2020-10-09 13:42:00","1","de","","2020-10-09 13:39:35","2020-10-09 13:42:00","13","HC_HMI","2020-10-09 13:39:43","Bi","Di","18","30","Männlich","Nie","< als 5.000 km","Nein","Nein","","Keine Kenntnisse - 0","N/A","N/A","N/A","Ja","","","","","","",""
"38","2020-10-09 15:47:18","1","de","","2020-10-09 15:41:11","2020-10-09 15:47:18","14","HC_HMI","2020-10-09 15:41:27","ge","vo","18","38","Männlich","Mehrmals pro Monat","10.001 - 20.000 km","Nein","Nein","","3","Ja","Ja","Ja","N/A","Monatlich","VAG, BMW, Ford, Tesla, Hyundai, Renault, Opel, Jaguar","Monatlich","VAG, BMW, Ford, Tesla, Hyundai, Jaguar","Monatlich","VAG, BMW, Ford, Tesla, Hyundai, Jaguar",""
"40","2020-10-09 10:46:57","1","de","","2020-10-09 10:43:23","2020-10-09 10:46:57","65","LC_HMI","2020-10-09 10:43:32","Si","Fr","12","34","Männlich","Weniger als einmal pro Monat","< als 5.000 km","Nein","Nein","","1","Ja","N/A","N/A","N/A","Monatlich","Vw","","","","",""
"41","2020-10-12 08:39:38","1","de","","2020-10-12 08:36:27","2020-10-12 08:39:38","66","LC_HMI","2020-10-12 08:36:37","Wa","Ma","09","27","Männlich","Weniger als einmal pro Monat","< als 5.000 km","Nein","Nein","","1","Ja","N/A","Ja","N/A","Nie","VW","","","Nie","Audi",""
"42","2020-10-12 10:47:01","1","de","","2020-10-12 10:43:43","2020-10-12 10:47:01","15","HC_HMI","2020-10-12 10:43:52","Pe","Ma","19","22","Männlich","Mehrmals pro Monat","5.001 - 10.000 km","Ja, ich nutze sie auch jetzt","Nein","","3","Ja","Ja","Ja","N/A","Monatlich","Porsche, VW","Monatlich","Porsche, VW","Nie","_",""
"43","2020-10-12 13:40:38","1","de","","2020-10-12 13:37:46","2020-10-12 13:40:38","16","HC_HMI","2020-10-12 13:37:56","Ly","Pe","02","26","Weiblich","Mehrmals pro Monat","< als 5.000 km","Ja, ich nutze sie jetzt nicht","Nein","","Keine Kenntnisse - 0","Ja","Ja","N/A","N/A","Nie","Mercedes","Monatlich","Vw","","",""
"44","2020-10-12 15:36:52","1","de","","2020-10-12 15:33:18","2020-10-12 15:36:52","17","HC_HMI","2020-10-12 15:33:31","Ha","Ke","20","30","Männlich","Mehrmals pro Monat","> 20.000 km","Nein","Nein","","Keine Kenntnisse - 0","Ja","Ja","Ja","N/A","Monatlich","BMW, Mercedes Benz, VW","Nie","Mercedes Benz","Monatlich","BMW, Mercedes Benz ",""
"45","2020-10-13 08:42:21","1","de","","2020-10-13 08:38:47","2020-10-13 08:42:21","67","LC_HMI","2020-10-13 08:38:59","El","Gu","0205","48","Weiblich","Täglich","10.001 - 20.000 km","Nein","Nein","","Keine Kenntnisse - 0","Ja","N/A","N/A","N/A","Nie","Audi Maserati Mercedes ","","","","",""
"46","2020-10-13 10:43:49","1","de","","2020-10-13 10:40:13","2020-10-13 10:43:49","68","LC_HMI","2020-10-13 10:40:23","Ch","Wo","24","26","Weiblich","Täglich","10.001 - 20.000 km","Nein","Nein","","Keine Kenntnisse - 0","Ja","N/A","N/A","N/A","Nie","Honda ","","","","",""
"47","2020-10-13 13:39:18","1","de","","2020-10-13 13:36:38","2020-10-13 13:39:18","18","HC_HMI","2020-10-13 13:36:47","Er","WA","21","69","Männlich","Mehrmals pro Woche","5.001 - 10.000 km","Nein","Ja","Rot-gruen","1","Ja","N/A","N/A","N/A","Monatlich","Bmw","","","","",""
"48","2020-10-15 08:49:21","1","de","","2020-10-15 08:39:14","2020-10-15 08:49:21","19","HC_HMI","2020-10-15 08:39:29","He","Jo","01","30","Männlich","Mehrmals pro Woche","< als 5.000 km","Ja, ich nutze sie auch jetzt","Nein","","1","Ja","Ja","Ja","N/A","Nie","Mazda, BMW, Audi","Nie","BMW ","Nie","Opel, BMW, Mazda ",""
"49","2020-10-15 10:51:51","1","de","","2020-10-15 10:49:09","2020-10-15 10:51:51","20","HC_HMI","2020-10-15 10:49:18","An","He","06","22","Weiblich","Mehrmals pro Woche","5.001 - 10.000 km","Ja, ich nutze sie auch jetzt","Nein","","2","Ja","Ja","Ja","N/A","Monatlich","VW, Tesla, opel, Mercedes ","Nie","Tesla","Monatlich","VW Tesla ",""
"50","2020-10-15 15:38:27","1","de","","2020-10-15 15:36:00","2020-10-15 15:38:27","69","LC_HMI","2020-10-15 15:36:16","Ir","Rü","06","36","Männlich","Mehrmals pro Woche","> 20.000 km","Nein","Nein","","1","Ja","N/A","N/A","N/A","Wöchentlich","Vw","","","","",""
"51","2020-10-16 08:37:50","1","de","","2020-10-16 08:33:23","2020-10-16 08:37:50","70","LC_HMI","2020-10-16 08:33:40","ma","mi","29","21","Weiblich","Weniger als einmal pro Monat","< als 5.000 km","Nein","Nein","","Keine Kenntnisse - 0","N/A","N/A","N/A","Ja","","","","","","",""
"52","2020-10-16 10:52:54","1","de","","2020-10-16 10:44:25","2020-10-16 10:52:54","21","HC_HMI","2020-10-16 10:44:46","Gu","Jö","25","26","Weiblich","Mehrmals pro Monat","5.001 - 10.000 km","Nein","Nein","","1","Ja","N/A","Ja","N/A","Monatlich","Nissan, Audi","","","Nie","BMW ",""
"53","2020-10-16 14:47:00","1","de","","2020-10-16 14:38:16","2020-10-16 14:47:00","71","LC_HMI","2020-10-16 14:38:46","LA","AL","06","21","Männlich","Mehrmals pro Woche","10.001 - 20.000 km","Nein","Nein","","1","Ja","N/A","Ja","N/A","Monatlich","Mazda","","","Nie","Mazda",""
"54","2020-10-19 08:52:49","1","de","","2020-10-19 08:45:39","2020-10-19 08:52:49","23","HC_HMI","2020-10-19 08:45:53","Sa","Mi","30","22","Männlich","Mehrmals pro Monat","5.001 - 10.000 km","Nein","Nein","","1","Ja","Ja","Ja","N/A","Monatlich","BMW Audi Mercedes Opel Renault Chevrolet","Nie","KA","Nie","BMW Audi",""
"55","2020-10-19 10:39:49","1","de","","2020-10-19 10:30:01","2020-10-19 10:39:49","24","HC_HMI","2020-10-19 10:30:24","Ma","To","14","23","Weiblich","Weniger als einmal pro Monat","< als 5.000 km","Ja, ich nutze sie auch jetzt","Nein","","1","N/A","N/A","Ja","N/A","","","","","Monatlich","Mazda",""
"56","2020-10-19 15:27:41","1","de","","2020-10-19 15:22:59","2020-10-19 15:27:41","72","LC_HMI","2020-10-19 15:23:27","He","He","04","61","Weiblich","Mehrmals pro Woche","< als 5.000 km","Ja, ich nutze sie auch jetzt","Nein","","Keine Kenntnisse - 0","N/A","N/A","N/A","Ja","","","","","","",""
"57","2020-10-20 08:40:34","1","de","","2020-10-20 08:29:32","2020-10-20 08:40:34","25","HC_HMI","2020-10-20 08:29:55","Ur","Fr","11","47","Männlich","Täglich","> 20.000 km","Ja, ich nutze sie auch jetzt","Ja","Rot-Grün-Schwäche","3","Ja","Ja","Ja","N/A","Wöchentlich","Audi, Peugeot, Toyota, Ford, Mazda, Opel","Monatlich","Audi, Toyota, Mazda, Opel, Peugeot","Täglich","Audi, Peugeot, Toyota, Mazda, Ford, Opel",""
"58","2020-10-20 10:49:23","1","de","","2020-10-20 10:37:55","2020-10-20 10:49:23","26","HC_HMI","2020-10-20 10:38:16","Er","Al","03.05.1967","53","Weiblich","Mehrmals pro Woche","< als 5.000 km","Nein","Nein","","Keine Kenntnisse - 0","N/A","N/A","N/A","Ja","","","","","","",""
"59","2020-10-20 13:45:23","1","de","","2020-10-20 13:32:57","2020-10-20 13:45:23","27","HC_HMI","2020-10-20 13:33:29","An","Jo","240564","56","Männlich","Täglich","> 20.000 km","Nein","Nein","","Keine Kenntnisse - 0","Ja","N/A","Ja","N/A","Monatlich","BMW Ford  Subaru ","","","Nie","Ford",""
"60","2020-10-20 15:39:21","1","de","","2020-10-20 15:31:55","2020-10-20 15:39:21","28","HC_HMI","2020-10-20 15:32:04","SI","He","30","25","Weiblich","Mehrmals pro Monat","5.001 - 10.000 km","Nein","Nein","","Experte - 4","Ja","Ja","Ja","N/A","Monatlich","Audi, BMW","Nie","Bmw","Nie","Bmw",""
"61","2020-10-22 08:47:42","1","de","","2020-10-22 08:43:39","2020-10-22 08:47:42","29","HC_HMI","2020-10-22 08:43:49","Ma","St","22","38","Männlich","Täglich","5.001 - 10.000 km","Nein","Nein","","2","Ja","Ja","Ja","N/A","Wöchentlich","VW BMW Mercedes audi","Monatlich","BMW audi","Monatlich","BMW audi",""
"62","2020-10-22 10:48:10","1","de","","2020-10-22 10:42:45","2020-10-22 10:48:10","30","HC_HMI","2020-10-22 10:42:56","Br","Be","12.05.77","43","Männlich","Täglich","> 20.000 km","Nein","Ja","Rot Grün","Keine Kenntnisse - 0","Ja","N/A","N/A","N/A","Mehrmals täglich","VW, Audi, BMW","","","","",""
"63","2020-10-22 13:56:13","1","de","","2020-10-22 13:51:18","2020-10-22 13:56:13","31","HC_HMI","2020-10-22 13:51:26","Ha","Al","28","64","Weiblich","Täglich","5.001 - 10.000 km","Ja, ich nutze sie jetzt nicht","Nein","","Keine Kenntnisse - 0","Ja","N/A","N/A","N/A","Wöchentlich","Mercedes","","","","",""
"64","2020-10-22 15:48:49","1","de","","2020-10-22 15:41:24","2020-10-22 15:48:49","73","LC_HMI","2020-10-22 15:41:36","YV","MI","0205","23","Weiblich","Mehrmals pro Monat","< als 5.000 km","Nein","Nein","","Keine Kenntnisse - 0","Ja","N/A","Ja","N/A","Monatlich","VW, mercedes","","","Monatlich","VW, Mercedes",""
"65","2020-10-23 08:44:58","1","de","","2020-10-23 08:41:07","2020-10-23 08:44:58","74","LC_HMI","2020-10-23 08:41:16","Ro","Jo","22","48","Männlich","Täglich","> 20.000 km","Nein","Nein","","Keine Kenntnisse - 0","Ja","Ja","Ja","N/A","Täglich","VW Sharan","Täglich","VW Sharan","Täglich","VW Sharan",""
"66","2020-10-23 10:50:28","1","de","","2020-10-23 10:46:33","2020-10-23 10:50:28","32","HC_HMI","2020-10-23 10:46:41","Ch","Be","08","56","Männlich","Mehrmals pro Woche","10.001 - 20.000 km","Nein","Nein","","Keine Kenntnisse - 0","N/A","N/A","N/A","Ja","","","","","","",""
"67","2020-10-23 14:05:55","1","de","","2020-10-23 14:01:01","2020-10-23 14:05:55","75","LC_HMI","2020-10-23 14:01:09","El","Ru","15","54","Weiblich","Weniger als einmal pro Monat","< als 5.000 km","Nein","Nein","","Keine Kenntnisse - 0","Ja","N/A","N/A","N/A","Nie","VW Golf","","","","",""
"68","2020-10-26 08:44:27","1","de","","2020-10-26 08:41:21","2020-10-26 08:44:27","33","HC_HMI","2020-10-26 08:41:40","Ly","Ha","04","45","Männlich","Täglich","10.001 - 20.000 km","Ja, ich nutze sie jetzt nicht","Nein","","Keine Kenntnisse - 0","N/A","N/A","N/A","Ja","","","","","","",""
"69","2020-10-26 10:50:14","1","de","","2020-10-26 10:44:58","2020-10-26 10:50:14","76","LC_HMI","2020-10-26 10:45:07","Ka","Ol","29","20","Männlich","Täglich","> 20.000 km","Nein","Nein","","1","Ja","N/A","Ja","N/A","Wöchentlich","Mercedes, Citroen, Ford, VW","","","Nie","Citroen, Mercedes",""
"70","2020-10-27 10:38:57","1","de","","2020-10-27 10:36:39","2020-10-27 10:38:57","34","HC_HMI","2020-10-27 10:37:01","An","Jö","11","22","Weiblich","Mehrmals pro Woche","10.001 - 20.000 km","Nein","Nein","","Keine Kenntnisse - 0","Ja","N/A","Ja","N/A","Monatlich","BMW, SEAT, SKODA","","","Monatlich","BMW, SEAT, SKODA",""
"71","2020-10-27 13:32:25","1","de","","2020-10-27 13:29:39","2020-10-27 13:32:25","35","HC_HMI","2020-10-27 13:29:50","An","Be","16","40","Männlich","Täglich","> 20.000 km","Ja, ich nutze sie auch jetzt","Nein","","2","Ja","Ja","N/A","N/A","Nie","BMW, Audi","Nie","BMW, Audi ","","",""
"72","2020-10-27 15:41:19","1","de","","2020-10-27 15:38:30","2020-10-27 15:41:19","77","LC_HMI","2020-10-27 15:38:47","Ma","He","06","22","Weiblich","Mehrmals pro Woche","5.001 - 10.000 km","Ja, ich nutze sie auch jetzt","Nein","","Keine Kenntnisse - 0","Ja","N/A","N/A","N/A","Monatlich","VW, mercedes","","","","",""
"73","2020-10-29 08:37:24","1","de","","2020-10-29 08:32:04","2020-10-29 08:37:24","78","LC_HMI","2020-10-29 08:32:37","He","Le","31","65","Männlich","Täglich","10.001 - 20.000 km","Nein","Nein","","1","Ja","Ja","Ja","N/A","Wöchentlich","BMW Mercedes","Wöchentlich","BMW Audi","Wöchentlich","BMW Audi",""
"74","2020-10-29 10:45:09","1","de","","2020-10-29 10:36:49","2020-10-29 10:45:09","79","LC_HMI","2020-10-29 10:37:02","Li","Ad","16","58","Weiblich","Mehrmals pro Woche","5.001 - 10.000 km","Nein","Nein","","Keine Kenntnisse - 0","N/A","N/A","N/A","Ja","","","","","","",""
"75","2020-10-29 13:13:07","1","de","","2020-10-29 13:03:59","2020-10-29 13:13:07","36","HC_HMI","2020-10-29 13:04:08","Ge","Ge","24","49","Männlich","Täglich","> 20.000 km","Nein","Nein","","2","Ja","Ja","Ja","N/A","Wöchentlich","Bmw","Nie","Audi","Nie","Audi",""
"76","2020-10-29 15:38:01","1","de","","2020-10-29 15:35:42","2020-10-29 15:38:01","37","HC_HMI","2020-10-29 15:35:57","Ka","Th","22","27","Weiblich","Mehrmals pro Woche","10.001 - 20.000 km","Nein","Nein","","Keine Kenntnisse - 0","Ja","N/A","N/A","N/A","Monatlich","Opel","","","","",""
"77","2020-10-30 08:46:55","1","de","","2020-10-30 08:37:14","2020-10-30 08:46:55","80","LC_HMI","2020-10-30 08:37:25","Ly","As","02","59","Männlich","Täglich","10.001 - 20.000 km","Ja, ich nutze sie jetzt nicht","Nein","","2","Ja","Ja","Ja","N/A","Mehrmals täglich","Mercedes.     BMW.  VW","Mehrmals täglich","Mercedes","Mehrmals täglich","Mercedes",""
"78","2020-10-30 10:44:20","1","de","","2020-10-30 10:41:21","2020-10-30 10:44:20","38","HC_HMI","2020-10-30 10:41:30","L","He","06","28","Weiblich","Mehrmals pro Woche","10.001 - 20.000 km","Ja, ich nutze sie auch jetzt","Nein","","1","Ja","N/A","N/A","N/A","Wöchentlich","Renault","","","","",""
"79","2020-10-30 13:25:53","1","de","","2020-10-30 13:09:38","2020-10-30 13:25:53","81","HC_HMI","2020-10-30 13:12:20","Ge","Ge","23","46","Männlich","Täglich","10.001 - 20.000 km","Nein","Nein","","Keine Kenntnisse - 0","Ja","Ja","Ja","N/A","Monatlich","VW AUDI BMW","Nie","AUDI","Nie","AUDI",""
"80","2020-10-30 15:50:08","1","de","","2020-10-30 15:46:27","2020-10-30 15:50:08","82","LC_HMI","2020-10-30 15:46:35","Mi","Ha","04","28","Männlich","Täglich","> 20.000 km","Nein","Nein","","2","Ja","N/A","Ja","N/A","Wöchentlich","BMW","","","Nie","BMW",""

