"id","submitdate","lastpage","startlanguage","seed","startdate","datestamp","VP","HMI","Datum","Wetter","Licht","AutomatStufeBefunden","AutomatStufeBefunden[other]","AenderungVerfuegbark","FallsJa","FallsJa[other]","HaendeLenkrad","Emails","Sonderanmerkungen","Notiz","ER1","q0r496","q0r496[other]","r94q0","r440q0","r440q0[other]","r182q0","r164q0","q0r969","q0r262","ER2","q0r972","q0r972[other]","r215q0","r564q0","r564q0[other]","r554q0","r329q0","Probleme","fallsjaproblem","q0r994","q0r624","ER3","q0r888","q0r888[other]","r665q0","r207q0","r207q0[other]","r274q0","r274q1","q0r3","q0r337","ER4","q0r341","q0r341[other]","r676q0","r217q0","r217q0[other]","r36q0","r448q0","r500q0","r729q0","q0r409","q0r873","ER5","q0r432","q0r432[other]","r462q0","r608q0","r608q0[other]","FallsJa2","FallsJa2[other]","r711q0","r5q0","q0r933","q0r157","ER6","q0r842","q0r842[other]","r159q0","r808q0","r808q0[other]","r734q0","r620q0","q0r676","q0r791","ER7","q0r204","q0r204[other]","r77q0","r29q0","r29q0[other]","r64q0","r175q0","q0r774","q0r98","ER8","q0r691","q0r691[other]","r582q0","r243q0","r243q0[other]","r185q0","r36q1","r438q0","r17q0","q0r355","q0r255","ER9","q0r940","q0r940[other]","r405q0","r754q0","r754q0[other]","r733q0","r733q0[other]","r801q0","r235q0","q0r299","q0r360","q0r485","q0r216","ER10","q0r64","q0r64[other]","r850q0","r972q0","r972q0[other]","r722q0","r230q0","r469q0","r138q0","q0r83","q0r805","TC11","q0r522","q0r522[other]","r225q0","r822q0","r822q0[other]","r857q0","r857q0[other]","r769q0","r658q0","r663q0","r314q0","q0r1017","q0r594","ER12"
"18","2020-09-29 09:57:08","1","de","","2020-09-29 08:57:43","2020-09-29 09:57:08","02","HC_HMI","2020-09-29 08:57:52","Leichter Regen","Hell","Manuelles Fahren","","Nein","","","Nein","Nein","","","1 - Keine Probleme; Schnelles Verarbeiten","Automatisiertes Fahren","","Ja","Alle verfügbar","","Ja","Ja","Erster Kontakt mit Bedienelementen beim fahren sehr s chwer","","4 - Massive Fehler; Ein oder mehrere Fehler Deutlich beeinträchtigter Operationsablauf Übermäßige Korrektur von Fehlern Keine Hilfe des Experimentators erforderlich","Automatisiertes Fahren","","Nein","","","Ja","Ja","Nein","","","","1 - Keine Probleme; Schnelles Verarbeiten","Automatisiertes Fahren","","Nein","","","Ja","Ja","","","1 - Keine Probleme; Schnelles Verarbeiten","Assistiertes Fahren","","Nein","","","Nein","Nein","Nein","","","","1 - Keine Probleme; Schnelles Verarbeiten","Assistiertes Fahren","","Ja","Automatisiert nicht mehr verfügbar","","Sensorfehler","","Nein","Nein","","","1 - Keine Probleme; Schnelles Verarbeiten","Assistiertes Fahren","","Nein","","","Nein","Nein","","","1 - Keine Probleme; Schnelles Verarbeiten","Assistiertes Fahren","","Ja","Automatisiert verfügbar","","Nein","Nein","","Erst hier Skala richtig angeschaut _ Anmerkung Icons sind weiter links","1 - Keine Probleme; Schnelles Verarbeiten","Automatisiertes Fahren","","Nein","","","Ja","Ja","Nein","","","","1 - Keine Probleme; Schnelles Verarbeiten","Manuelles Fahren","","Ja","Automatisiert und Assistiert nicht mehr verfügbar","","Weiß nicht mehr","","Nein","Nein","Nein","","","","2 - Zögern; Unabhängige Lösung ohne Fehler Aber: Zögern, sehr bewusstes Handeln und volle Konzentration","Automatisiertes Fahren","","Ja","Assistiert und Automatisiertes Fahren verfügbar","","Ja","Ja","Nein","","","Hase auf Straße","1 - Keine Probleme; Schnelles Verarbeiten","Manuelles Fahren","","Ja","Automatisiert und Assistiert nicht mehr verfügbar","","Sensorfehler","","Nein","Nein","Ja","Bremsen für Übernahme - Allein ans Lenkrad fassen reicht nicht, hätte Proband aber erwartet, zumindest kurz zu lenken","","","2 - Zögern; Unabhängige Lösung ohne Fehler Aber: Zögern, sehr bewusstes Handeln und volle Konzentration"
"30","2020-10-05 10:42:54","1","de","","2020-10-05 08:54:02","2020-10-05 10:42:54","07","HC_HMI","2020-10-05 09:37:59","Leichter Regen","Hell","Manuelles Fahren","","Nein","","","Nein","Nein","","","1 - Keine Probleme; Schnelles Verarbeiten","Sonstiges","Vollautomatisch ","Ja","Assistiert und Automatisiertes Fahren verfügbar","","Ja","Ja","","","4 - Massive Fehler; Ein oder mehrere Fehler Deutlich beeinträchtigter Operationsablauf Übermäßige Korrektur von Fehlern Keine Hilfe des Experimentators erforderlich","Automatisiertes Fahren","","Ja","Alle verfügbar","","Ja","Ja","Ja","Wollte direkt ins automatisiert schalten, Hinweis, dass das nicht geht","","","2 - Zögern; Unabhängige Lösung ohne Fehler Aber: Zögern, sehr bewusstes Handeln und volle Konzentration","Automatisiertes Fahren","","Nein","","","Ja","Ja","","","1 - Keine Probleme; Schnelles Verarbeiten","Assistiertes Fahren","","Nein","","","Nein","Nein","Nein","","","","1 - Keine Probleme; Schnelles Verarbeiten","Assistiertes Fahren","","Ja","Automatisiert nicht mehr verfügbar","","Sensorfehler","","Nein","Nein","","","1 - Keine Probleme; Schnelles Verarbeiten","Assistiertes Fahren","","Nein","","","Nein","Nein","","","1 - Keine Probleme; Schnelles Verarbeiten","Assistiertes Fahren","","Ja","Automatisiert verfügbar","","Nein","Nein","Steuerung von Auto bemerkt, Steinen nicht ausgewichen","","1 - Keine Probleme; Schnelles Verarbeiten","Automatisiertes Fahren","","Nein","","","Ja","Ja","Nein","","","","1 - Keine Probleme; Schnelles Verarbeiten","Manuelles Fahren","","Ja","Keines verfügbar","","Systemgrenze","","Nein","Nein","Nein","","","","1 - Keine Probleme; Schnelles Verarbeiten","Automatisiertes Fahren","","Ja","Alle verfügbar","","Ja","Ja","Nein","","","","1 - Keine Probleme; Schnelles Verarbeiten","Manuelles Fahren","","Ja","Automatisiert und Assistiert nicht mehr verfügbar","","Sensorfehler","","Nein","Nein","Nein","","","","1 - Keine Probleme; Schnelles Verarbeiten"
"31","2020-10-05 15:15:37","1","de","","2020-10-05 14:03:22","2020-10-05 15:15:37","08","HC_HMI","2020-10-05 14:03:34","Leicht bewölkt","Hell","Sonstiges","Erste","Nein","","","N/A","Nein","","Hände vom Lenkrad : Weiß ich nicht","1 - Keine Probleme; Schnelles Verarbeiten","Sonstiges","Eins","Ja","Sonstiges","Hätte in nächste Stufe schalten können","Nein","Nein","","","1 - Keine Probleme; Schnelles Verarbeiten","Sonstiges","Erste Stufe","Nein","","","Ja","Nein","Ja","Erst mit Pfeil rauf und runter versucht, ging nicht, dann mit anderer Taste versucht","","","4 - Massive Fehler; Ein oder mehrere Fehler Deutlich beeinträchtigter Operationsablauf Übermäßige Korrektur von Fehlern Keine Hilfe des Experimentators erforderlich","Sonstiges","Nicht drauf geachtet","Ja","Sonstiges","Lenkradunterstützung und Spurhalteassistent","Ja","Nein","","P sagt ja bei Hände von l entfernen, obwohl HOD genannt","4 - Massive Fehler; Ein oder mehrere Fehler Deutlich beeinträchtigter Operationsablauf Übermäßige Korrektur von Fehlern Keine Hilfe des Experimentators erforderlich","Sonstiges","Eins","Ja","Sonstiges","Lenkrad Unterstützung und Spurhalteassistent","Ja","Nein","Nein","","","","4 - Massive Fehler; Ein oder mehrere Fehler Deutlich beeinträchtigter Operationsablauf Übermäßige Korrektur von Fehlern Keine Hilfe des Experimentators erforderlich","Sonstiges","Eins","Ja","Sonstiges","Irgendeine Automatik nicht verfügbar ","Nichts erkannt","","Ja","Nein","","","3 - Kleinere Fehler; Unabhängige Lösung ohne oder mit kleineren Fehlern, die selbstbewusst korrigiert Aber: Längere Denkpausen Bewertung möglicher Arbeitsschritte","Sonstiges","Eins","Nein","","","Ja","Nein","","","2 - Zögern; Unabhängige Lösung ohne Fehler Aber: Zögern, sehr bewusstes Handeln und volle Konzentration","Sonstiges","Eins","Nein","","","Ja","Nein","Wollte probieren was passiert wenn Hände nicht an Lenkrad genommen werden","","3 - Kleinere Fehler; Unabhängige Lösung ohne oder mit kleineren Fehlern, die selbstbewusst korrigiert Aber: Längere Denkpausen Bewertung möglicher Arbeitsschritte","Sonstiges","Eins","Ja","Sonstiges","Geschwindigkeitsassistent aktiv","Ja","Nein","Nein","","","","2 - Zögern; Unabhängige Lösung ohne Fehler Aber: Zögern, sehr bewusstes Handeln und volle Konzentration","Sonstiges","Drei","Ja","Nur Manuell verfügbar","","Nichts erkannt","","Ja","Ja","Nein","","","P: Unten stand immer Stufe 1, deshalb immer die bei erster Frage angegeben","2 - Zögern; Unabhängige Lösung ohne Fehler Aber: Zögern, sehr bewusstes Handeln und volle Konzentration","Automatisiertes Fahren","","Nein","","","Ja","Ja","Nein","","","","1 - Keine Probleme; Schnelles Verarbeiten","Automatisiertes Fahren","","Nein","","","","","Ja","Ja","Nein","","Sensorfehler musste manuell weiterfahren ","","2 - Zögern; Unabhängige Lösung ohne Fehler Aber: Zögern, sehr bewusstes Handeln und volle Konzentration"
"32","2020-10-05 17:05:20","1","de","","2020-10-05 16:03:01","2020-10-05 17:05:20","59","LC_HMI","2020-10-05 16:22:28","Stark bewölkt","Düster, dämmrig","Manuelles Fahren","","Nein","","","Nein","Nein","","","3 - Kleinere Fehler; Unabhängige Lösung ohne oder mit kleineren Fehlern, die selbstbewusst korrigiert Aber: Längere Denkpausen Bewertung möglicher Arbeitsschritte","Manuelles Fahren","","Ja","Automatisiert verfügbar","","Nein","Nein","","","1 - Keine Probleme; Schnelles Verarbeiten","Automatisiertes Fahren","","Nein","","","Ja","Ja","Ja","Erst falsche taste","","","3 - Kleinere Fehler; Unabhängige Lösung ohne oder mit kleineren Fehlern, die selbstbewusst korrigiert Aber: Längere Denkpausen Bewertung möglicher Arbeitsschritte","Automatisiertes Fahren","","Nein","","","Ja","Ja","","Proband fragt ob er bei HOD Hände ans Lenkrad nehmen soll","4 - Massive Fehler; Ein oder mehrere Fehler Deutlich beeinträchtigter Operationsablauf Übermäßige Korrektur von Fehlern Keine Hilfe des Experimentators erforderlich","Assistiertes Fahren","","Nein","","","Nein","Nein","Ja","Erst jetzt gemerkt welche Stufe welche ist","","","2 - Zögern; Unabhängige Lösung ohne Fehler Aber: Zögern, sehr bewusstes Handeln und volle Konzentration","Assistiertes Fahren","","Ja","Automatisiert nicht mehr verfügbar","","Sensorfehler","","Ja","Nein","","P: Hände entfernen bis zur Meldung erlaubt","2 - Zögern; Unabhängige Lösung ohne Fehler Aber: Zögern, sehr bewusstes Handeln und volle Konzentration","Assistiertes Fahren","","Nein","","","Ja","Nein","","","1 - Keine Probleme; Schnelles Verarbeiten","Assistiertes Fahren","","Ja","Automatisiert verfügbar","","Ja","Nein","","","1 - Keine Probleme; Schnelles Verarbeiten","Automatisiertes Fahren","","Nein","","","Ja","Ja","Nein","","","","1 - Keine Probleme; Schnelles Verarbeiten","Manuelles Fahren","","Ja","Nur Manuell verfügbar","","Systemgrenze","","Nein","Nein","Ja","Erst unsicher wie in manuell,  dann aber mit bremse schnell funktioniert","","","2 - Zögern; Unabhängige Lösung ohne Fehler Aber: Zögern, sehr bewusstes Handeln und volle Konzentration","Automatisiertes Fahren","","Ja","Automatisiert verfügbar","","Ja","Ja","Nein","","","","1 - Keine Probleme; Schnelles Verarbeiten","Manuelles Fahren","","Ja","Sonstiges","Bitte übernehmen ","Sensorfehler","","Nein","Nein","Nein","","Kurz probiert ob auch direkt in autom fahren mit rechter Taste (bei Level reset)","","1 - Keine Probleme; Schnelles Verarbeiten"
"34","2020-10-05 12:00:58","1","de","","2020-10-05 11:00:53","2020-10-05 12:00:58","58","LC_HMI","2020-10-05 11:19:29","Leicht bewölkt","Hell","Manuelles Fahren","","Nein","","","Nein","Nein","","","1 - Keine Probleme; Schnelles Verarbeiten","Manuelles Fahren","","Ja","Assistiert und Automatisiertes Fahren verfügbar","","Nein","Nein","","","1 - Keine Probleme; Schnelles Verarbeiten","Automatisiertes Fahren","","Nein","","","Ja","Ja","Nein","","","","2 - Zögern; Unabhängige Lösung ohne Fehler Aber: Zögern, sehr bewusstes Handeln und volle Konzentration","Automatisiertes Fahren","","Nein","","","Ja","Ja","","","1 - Keine Probleme; Schnelles Verarbeiten","Assistiertes Fahren","","Nein","","","Nein","Nein","Nein","","","","1 - Keine Probleme; Schnelles Verarbeiten","Assistiertes Fahren","","Ja","Automatisiert nicht mehr verfügbar","","Sensorfehler","","Nein","Nein","","","1 - Keine Probleme; Schnelles Verarbeiten","Assistiertes Fahren","","Nein","","","Nein","Nein","","","1 - Keine Probleme; Schnelles Verarbeiten","Assistiertes Fahren","","Ja","Automatisiert verfügbar","","Nein","Nein","","","1 - Keine Probleme; Schnelles Verarbeiten","Automatisiertes Fahren","","Nein","","","Ja","Ja","Nein","","","","1 - Keine Probleme; Schnelles Verarbeiten","Manuelles Fahren","","Ja","Automatisiert nicht mehr verfügbar","","Sonstiges","Systemfehler","Nein","Nein","Nein","","","","3 - Kleinere Fehler; Unabhängige Lösung ohne oder mit kleineren Fehlern, die selbstbewusst korrigiert Aber: Längere Denkpausen Bewertung möglicher Arbeitsschritte","Automatisiertes Fahren","","Ja","Alle verfügbar","","Ja","Ja","Nein","","","","1 - Keine Probleme; Schnelles Verarbeiten","Automatisiertes Fahren","","Ja","Automatisiert und Assistiert nicht mehr verfügbar","","Sensorfehler","","Ja","Ja","Nein","","Notbremsung verwirrt","P hat nicht übernommen, nur Hände ans Lenkrad, als nichts passierte hände wieder weg","3 - Kleinere Fehler; Unabhängige Lösung ohne oder mit kleineren Fehlern, die selbstbewusst korrigiert Aber: Längere Denkpausen Bewertung möglicher Arbeitsschritte"
"35","2020-10-06 09:52:47","1","de","","2020-10-06 09:08:02","2020-10-06 09:52:47","09","HC_HMI","2020-10-06 09:09:17","Leicht bewölkt","Hell","Manuelles Fahren","","Nein","","","Nein","Nein","","","1 - Keine Probleme; Schnelles Verarbeiten","Manuelles Fahren","","Ja","Assistiert und Automatisiertes Fahren verfügbar","","Nein","Nein","","","1 - Keine Probleme; Schnelles Verarbeiten","Automatisiertes Fahren","","Nein","","","Ja","Ja","Ja","Drei Symbole verfügbar, daher direkt mit umschalt Taste rechts versucht, da symbol für autom in der leiste auf Bildschirm auch rechts, komisch dass erst ins assistiert geschälten werden muss","","","2 - Zögern; Unabhängige Lösung ohne Fehler Aber: Zögern, sehr bewusstes Handeln und volle Konzentration","Automatisiertes Fahren","","Nein","","","Ja","Ja","","","1 - Keine Probleme; Schnelles Verarbeiten","Assistiertes Fahren","","Nein","","","Nein","Nein","Nein","","","","1 - Keine Probleme; Schnelles Verarbeiten","Assistiertes Fahren","","Ja","Automatisiert nicht mehr verfügbar","","Sensorfehler","","Nein","Nein","Meldung nur aus Zufall gesehen, Symbol unten ausgegraut wäre aber ohne Textmeldung nicht aufgefallen da unterschied zwischen weiß und grau sehr gering","","1 - Keine Probleme; Schnelles Verarbeiten","Assistiertes Fahren","","Nein","","","Nein","Nein","","","1 - Keine Probleme; Schnelles Verarbeiten","Assistiertes Fahren","","Ja","Automatisiert verfügbar","","Nein","Nein","","","1 - Keine Probleme; Schnelles Verarbeiten","Automatisiertes Fahren","","Nein","","","Ja","Ja","Nein","","","","1 - Keine Probleme; Schnelles Verarbeiten","Manuelles Fahren","","Ja","Automatisiert und Assistiert nicht mehr verfügbar","","Systemgrenze","","Nein","Nein","Nein","","Weiß nicht ob systemgrenze auch für assistiert gilt, Ton fehlt, Anzeige nur ganz zufällig gesehen, Töne auch bei verfügbar bevorzugt, bei dieser Fahrt ohne Ton geht gar nicht","","1 - Keine Probleme; Schnelles Verarbeiten","Automatisiertes Fahren","","Nein","","","Ja","Ja","Nein","","Kurz von kürzerem Intro verwirrt","","1 - Keine Probleme; Schnelles Verarbeiten","Manuelles Fahren","","Ja","Automatisiert und Assistiert nicht mehr verfügbar","","Sensorfehler","","Nein","Nein","Nein","","Super","","1 - Keine Probleme; Schnelles Verarbeiten"
"36","2020-10-06 11:56:04","1","de","","2020-10-06 10:54:30","2020-10-06 11:56:04","10","HC_HMI","2020-10-06 10:59:23","Stark bewölkt","Hell","Manuelles Fahren","","Nein","","","Nein","Nein","","","1 - Keine Probleme; Schnelles Verarbeiten","Manuelles Fahren","","Ja","Assistiert und Automatisiertes Fahren verfügbar","","Nein","Nein","","","1 - Keine Probleme; Schnelles Verarbeiten","Automatisiertes Fahren","","Nein","","","Ja","Ja","Nein","","","","1 - Keine Probleme; Schnelles Verarbeiten","Automatisiertes Fahren","","Nein","","","Ja","Ja","","","1 - Keine Probleme; Schnelles Verarbeiten","Assistiertes Fahren","","Nein","","","Ja","Nein","Nein","","Unsicher ob Hände ans L müssen, Aufforderung gesehen, unsicher ob sie danach wieder entfernt werden dürfen","","1 - Keine Probleme; Schnelles Verarbeiten","Assistiertes Fahren","","Ja","Automatisiert nicht mehr verfügbar","","Sensorfehler","","Ja","Nein","","","1 - Keine Probleme; Schnelles Verarbeiten","Assistiertes Fahren","","Nein","","","Ja","Nein","","","1 - Keine Probleme; Schnelles Verarbeiten","Assistiertes Fahren","","Ja","Automatisiert verfügbar","","Nein","Nein","","Durch Meldung bei HOD gelernt, dass Hände am L bleiben müssen","1 - Keine Probleme; Schnelles Verarbeiten","Automatisiertes Fahren","","Nein","","","Ja","Ja","Nein","","","","1 - Keine Probleme; Schnelles Verarbeiten","Manuelles Fahren","","Nein","","","","","Nein","Nein","Ja","Aufforderung nur zufällig wahrgenommen, nicht sicher ob Aufforderung oder nur Hinweis, dann schnell irgendwo hingeklickt","","","3 - Kleinere Fehler; Unabhängige Lösung ohne oder mit kleineren Fehlern, die selbstbewusst korrigiert Aber: Längere Denkpausen Bewertung möglicher Arbeitsschritte","Automatisiertes Fahren","","Nein","","","Ja","Ja","Nein","","","","1 - Keine Probleme; Schnelles Verarbeiten","Manuelles Fahren","","Nein","","","","","Nein","Nein","Ja","Erst mit Hände am Lenkrad und Gas Übersteuern wollen, hat nicht funktioniert, dann mit Button ausgeschaltet","","","1 - Keine Probleme; Schnelles Verarbeiten"
"40","2020-10-06 14:50:19","1","de","","2020-10-06 13:56:07","2020-10-06 14:50:19","60","LC_HMI","2020-10-06 13:56:18","Stark bewölkt","Hell","Manuelles Fahren","","Nein","","","Nein","Nein","","","1 - Keine Probleme; Schnelles Verarbeiten","Automatisiertes Fahren","","Nein","","","Ja","Ja","","","4 - Massive Fehler; Ein oder mehrere Fehler Deutlich beeinträchtigter Operationsablauf Übermäßige Korrektur von Fehlern Keine Hilfe des Experimentators erforderlich","Automatisiertes Fahren","","Nein","","","Ja","Ja","Nein","","","","3 - Kleinere Fehler; Unabhängige Lösung ohne oder mit kleineren Fehlern, die selbstbewusst korrigiert Aber: Längere Denkpausen Bewertung möglicher Arbeitsschritte","Automatisiertes Fahren","","Nein","","","Ja","Ja","","","1 - Keine Probleme; Schnelles Verarbeiten","Assistiertes Fahren","","Ja","Sonstiges","Hände ans Lenkrad ","Ja","Nein","Nein","","","P spielt surt","1 - Keine Probleme; Schnelles Verarbeiten","Assistiertes Fahren","","Ja","Automatisiert nicht mehr verfügbar","","Sensorfehler","","Ja","Nein","","","1 - Keine Probleme; Schnelles Verarbeiten","Assistiertes Fahren","","Nein","","","Ja","Nein","","","1 - Keine Probleme; Schnelles Verarbeiten","Assistiertes Fahren","","Ja","Automatisiert verfügbar","","Ja","Nein","","","1 - Keine Probleme; Schnelles Verarbeiten","Automatisiertes Fahren","","Nein","","","Ja","Ja","Nein","","","","1 - Keine Probleme; Schnelles Verarbeiten","Manuelles Fahren","","Ja","Keines mehr verfügbar","","Systemgrenze","","Nein","Nein","Nein","","Unklar, ob selber übernehmen muss oder das System selber umschaltet","Hinweis, dass P Bremsen soll als keine Reaktion auf Notbremsung kam","3 - Kleinere Fehler; Unabhängige Lösung ohne oder mit kleineren Fehlern, die selbstbewusst korrigiert Aber: Längere Denkpausen Bewertung möglicher Arbeitsschritte","Automatisiertes Fahren","","Ja","Alle verfügbar","","Ja","Ja","Nein","","","","1 - Keine Probleme; Schnelles Verarbeiten","Manuelles Fahren","","Ja","Nur Manuell verfügbar","","Sensorfehler","","Nein","Nein","Nein","","","","2 - Zögern; Unabhängige Lösung ohne Fehler Aber: Zögern, sehr bewusstes Handeln und volle Konzentration"
"41","2020-10-06 16:57:18","1","de","","2020-10-06 16:02:20","2020-10-06 16:57:18","61","LC_HMI","2020-10-06 16:02:27","Stark bewölkt","Düster, dämmrig","Manuelles Fahren","","Nein","","","Nein","Nein","","","1 - Keine Probleme; Schnelles Verarbeiten","Manuelles Fahren","","Ja","Alle verfügbar","","Nein","Nein","","","1 - Keine Probleme; Schnelles Verarbeiten","Automatisiertes Fahren","","Ja","Sonstiges","Selbstständig lenken und beschleunigen ","Ja","Ja","Nein","","","","4 - Massive Fehler; Ein oder mehrere Fehler Deutlich beeinträchtigter Operationsablauf Übermäßige Korrektur von Fehlern Keine Hilfe des Experimentators erforderlich","Automatisiertes Fahren","","Ja","Sonstiges","Anweisungen ","Ja","Ja","","Hände nicht ans Lenkrad bei hod, bis Notbremsung und Hinweis von VL. Bei zweiter HOD dann von alleine reagiert","4 - Massive Fehler; Ein oder mehrere Fehler Deutlich beeinträchtigter Operationsablauf Übermäßige Korrektur von Fehlern Keine Hilfe des Experimentators erforderlich","Assistiertes Fahren","","Nein","","","Nein","Nein","Nein","","Jetzt erst verstanden was automatisiert und was assistiert in der Anzeige ist ","","2 - Zögern; Unabhängige Lösung ohne Fehler Aber: Zögern, sehr bewusstes Handeln und volle Konzentration","Assistiertes Fahren","","Ja","Automatisiert nicht mehr verfügbar","","Sensorfehler","","Nein","Nein","","","1 - Keine Probleme; Schnelles Verarbeiten","Assistiertes Fahren","","Nein","","","Nein","Nein","","","1 - Keine Probleme; Schnelles Verarbeiten","Assistiertes Fahren","","Ja","Automatisiert verfügbar","","Nein","Nein","","","1 - Keine Probleme; Schnelles Verarbeiten","Automatisiertes Fahren","","Nein","","","Ja","Ja","Nein","","","","1 - Keine Probleme; Schnelles Verarbeiten","Manuelles Fahren","","Ja","Automatisiert nicht mehr verfügbar","","Systemgrenze","","Nein","Nein","Nein","","","","1 - Keine Probleme; Schnelles Verarbeiten","Automatisiertes Fahren","","Nein","","","Ja","Ja","Nein","","","","1 - Keine Probleme; Schnelles Verarbeiten","Manuelles Fahren","","Ja","Automatisiert nicht mehr verfügbar","","Sonstiges","Systemfehler","Nein","Nein","Nein","","","","1 - Keine Probleme; Schnelles Verarbeiten"
"42","2020-10-08 10:02:58","1","de","","2020-10-08 09:02:14","2020-10-08 10:02:58","62","LC_HMI","2020-10-08 09:23:04","Sonnig, blauer Himmel","Sehr hell, blendend","Manuelles Fahren","","Nein","","","Nein","Nein","Sehr auf Display konzentriert, weil auf Ansage gewartet","","1 - Keine Probleme; Schnelles Verarbeiten","Manuelles Fahren","","Ja","Automatisiert verfügbar","","Nein","Nein","","","1 - Keine Probleme; Schnelles Verarbeiten","Automatisiertes Fahren","","Nein","","","Ja","Ja","Nein","","","","2 - Zögern; Unabhängige Lösung ohne Fehler Aber: Zögern, sehr bewusstes Handeln und volle Konzentration","Automatisiertes Fahren","","Nein","","","Ja","Ja","","","1 - Keine Probleme; Schnelles Verarbeiten","Assistiertes Fahren","","Nein","","","Nein","Nein","Nein","","Nicht ganz sicher ob Hände am Lenkrad bleiben müssen","","1 - Keine Probleme; Schnelles Verarbeiten","Assistiertes Fahren","","Nein","","","","","Nein","Nein","","","3 - Kleinere Fehler; Unabhängige Lösung ohne oder mit kleineren Fehlern, die selbstbewusst korrigiert Aber: Längere Denkpausen Bewertung möglicher Arbeitsschritte","Assistiertes Fahren","","Nein","","","Nein","Nein","","","1 - Keine Probleme; Schnelles Verarbeiten","Assistiertes Fahren","","Ja","Automatisiert verfügbar","","Nein","Nein","","","1 - Keine Probleme; Schnelles Verarbeiten","Automatisiertes Fahren","","Nein","","","Ja","Ja","Nein","","","","1 - Keine Probleme; Schnelles Verarbeiten","Manuelles Fahren","","Ja","Automatisiert und Assistiert nicht mehr verfügbar","","Sonstiges","Sollte notbremsung machen","Nein","Nein","Nein","","Ton wäre hilfreich, hätte Meldung bei Ablenkung durch Spiel fast nicht gesehen","Meldung erst bei Notbremsung gesehen","5 - Hilfe vom Experimenter; Mehrere Fehler Massive Fehler erfordern einen Neustart der Aufgabe, Hilfe des Experimentators erforderlich","Automatisiertes Fahren","","Ja","Automatisiert verfügbar","","Ja","Ja","Nein","","","Wiederholung, da bei Durchgang 1 die Spur lange nicht erkannt","1 - Keine Probleme; Schnelles Verarbeiten","Manuelles Fahren","","Ja","Nur Manuell verfügbar","","Sensorfehler","","Nein","Nein","Nein","","","","2 - Zögern; Unabhängige Lösung ohne Fehler Aber: Zögern, sehr bewusstes Handeln und volle Konzentration"
"43","2020-10-08 12:20:53","1","de","","2020-10-08 11:01:42","2020-10-08 12:20:53","11","HC_HMI","2020-10-08 11:02:03","Leicht bewölkt","Hell","Manuelles Fahren","","Nein","","","Nein","Nein","","","1 - Keine Probleme; Schnelles Verarbeiten","Assistiertes Fahren","","Ja","Sonstiges","Schalten von manuell zu assistiert ","Ja","Nein","Spurerkennung nicht funktioniert ","P geht in seinen Antworten vom assistiert aus, da eingegriffen werden musste","4 - Massive Fehler; Ein oder mehrere Fehler Deutlich beeinträchtigter Operationsablauf Übermäßige Korrektur von Fehlern Keine Hilfe des Experimentators erforderlich","Automatisiertes Fahren","","Nein","","","Ja","Ja","Ja","War nicht klar für was die Knöpfe sind, welche er erst drücken muss, Reihenfolge nicht klar","","","3 - Kleinere Fehler; Unabhängige Lösung ohne oder mit kleineren Fehlern, die selbstbewusst korrigiert Aber: Längere Denkpausen Bewertung möglicher Arbeitsschritte","Automatisiertes Fahren","","Nein","","","Ja","Ja","Traut System nicht, schaut immer wieder in Display ob sich Verfügbarkeit ändert, weil es so ungewohnt ist ","","1 - Keine Probleme; Schnelles Verarbeiten","Assistiertes Fahren","","Nein","","","Nein","Nein","Ja","Tasten immer noch nicht ganz klar","Hände an Lenkrad erst nach HOD Meldung klar, Definition von assistiert unklar","","3 - Kleinere Fehler; Unabhängige Lösung ohne oder mit kleineren Fehlern, die selbstbewusst korrigiert Aber: Längere Denkpausen Bewertung möglicher Arbeitsschritte","Assistiertes Fahren","","Ja","Automatisiert nicht mehr verfügbar","","Sensorfehler","","Nein","Nein","Meldung verwirrend, weil automatisiert ja gerade gar nicht gewollt","","1 - Keine Probleme; Schnelles Verarbeiten","Assistiertes Fahren","","Nein","","","Nein","Nein","Nicht klar wann ich falsch  bediene, kein lernerfolg","","1 - Keine Probleme; Schnelles Verarbeiten","Assistiertes Fahren","","Ja","Automatisiert verfügbar","","Nein","Nein","Visuelle Umsetzung nicht gut , Verfügbarkeit nicht dauerhaft visuell vermittelt ","","1 - Keine Probleme; Schnelles Verarbeiten","Automatisiertes Fahren","","Nein","","","Ja","Ja","Ja","Tasten immer noch nicht verstanden ","Farben von Abbildung angemerkt","","1 - Keine Probleme; Schnelles Verarbeiten","Manuelles Fahren","","Ja","Automatisiert und Assistiert nicht mehr verfügbar","","Systemgrenze","","Nein","Nein","Nein","","Kein Problem bei Wechsel, aber unsicher welcher der richtige Weg ist,  Meldung nur ganz schwach imAugenwinkel wahrgenommen ","","2 - Zögern; Unabhängige Lösung ohne Fehler Aber: Zögern, sehr bewusstes Handeln und volle Konzentration","Automatisiertes Fahren","","Ja","Assistiert und Automatisiertes Fahren verfügbar","","Ja","Ja","Nein","","Ungutes Gefühl wegen fehlendem Audio Signal wenn automatisiert nicht mehr verfügbar ( bezogen auf tc10)","","1 - Keine Probleme; Schnelles Verarbeiten","Manuelles Fahren","","Ja","Sonstiges","Weiß nicht mehr","Weiß nicht mehr","","Nein","Nein","Nein","","","","1 - Keine Probleme; Schnelles Verarbeiten"
